,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,2796.0683261881522,2408.983146016116,2901.084674032362,3521.7491084251947,3046.7504794101,3317.2509150938536,1879.809432170817,2816.88665033105,2423.7836227964667,4264.044604187665,2437.793455727093,3020.182208791453,3059.5191382287708,3204.8778646206924,2452.106500837211,2603.8474795396232,3208.7198728980097,3687.664990149028,2995.6561414065204,3251.9428343808863,3254.611630046044,2724.256540336952,3158.6387220755446,2923.5240879050966,3141.6430046466267,2289.03286130643,2763.027095510362,2092.621798804937,1633.8187406679272,2541.94448636912,2253.875966296891,2920.382358028149,2750.2850182198863,2486.97003310273,3017.213056204275,2584.275236828116,2624.5336859383283,2562.548760716877,3080.96036704838,2679.7334321627295,2391.07418608998,4134.234297177945,788.4316424028806,2851.263540869258,1959.1292334544364,2531.293079958329,2903.4776552545572,4608.53726018384,3043.3699283704555,2603.3050909972935,2729.0454901158528,2184.3551269967,3041.1791002879904,2789.1211848366656,3461.9373603921467,2946.6978953892144,2724.4047069914805,2552.144307430042,2738.1431455277884,3389.6690235865854,3207.139620170253,2024.6257562609758,2944.1424924640273,3254.5895944990525,3139.599489005524,3092.095488009459,3418.7110602081343,2540.7739310659545,4561.725326394327,3029.476293531928,2682.409463740417,3191.505567020341,1819.3477110332988,2830.8648046515295,2899.091020329042,2307.678591862411,2740.847717224058,2511.0291824442825,2879.4516618139287,2893.222104158487,1872.974650217574,2258.562783320618,2182.9706174711205,2743.4598086640303,3019.9912680158604,2285.2181517730605,2947.0386299950874,3137.439957271739,2788.9249366498975,3337.2841847215846,2549.966937490742,3268.7525820783244,3181.8437594817256
People between 30 and 59,2784.0147498155598,2434.9170146208817,2881.9851021956774,3520.770295139799,3064.8347058626955,3306.1646228247328,1884.046741750586,2812.7990331324627,2407.194727824421,4314.485095519881,2478.004300473729,3030.0391227613177,3068.8114532464224,3211.8946949705582,2444.4555239691886,2569.8332144864044,3211.6448220696843,3690.6350778869387,2972.143713156451,3229.875274889329,3260.385978352107,2787.835267473395,3192.904531012833,2912.1090927534656,3126.981845116598,2287.3128276912566,2794.626782327846,2137.878680000914,1749.4862301832363,2571.915213604297,2319.933203100605,2887.6138607757703,2745.3495433519975,2520.9359941019893,3043.2393692119535,2574.1356793346595,2605.4745775674232,2564.427586463571,3074.0624560749566,2674.4038357416493,2527.1179265385717,4118.43262216871,787.4081830026583,2841.025907609505,2114.5858906129224,2577.2590079349175,2888.367260899876,4569.036982280742,3035.436775901104,2791.7182090034466,2764.2516891053424,2208.887174821623,3047.714319410103,2771.8763164424818,3431.386112034761,2953.028796164248,2730.896813426581,2559.9877871317385,2738.7574229120223,3182.6656642504004,3204.023390531746,2021.4218574442125,2940.9639243607407,3276.6759358026284,3160.448905162522,3092.2546940910706,3840.8495106591104,2574.7279195951733,4541.972375610172,3025.319084462524,2665.59287492554,3203.010751945967,1788.1372610080416,2821.7114791354743,2896.487964005661,2327.2933008811397,2772.0815789927237,2650.3897929152286,2860.798035876085,2904.0431337217365,1897.2581734990251,2260.176540721981,2173.143514486817,2766.9053179036305,3030.785452517956,2293.1552273340644,2962.322991616953,3146.253382595564,2771.379914516174,3342.719929985031,2584.826832737954,3270.0412970883617,3198.64924048146
People 60 and older,2779.403177689916,2420.704179743262,2893.2622751790072,3522.335981288135,3010.8033962139752,3265.9492909656437,1827.39165609995,2833.3191881126063,2278.1600990485867,4360.902825037508,2477.4156833069046,3027.1902025105055,3041.2618473403572,3185.212144071733,2379.6517076153505,2567.764536663515,3181.635042775249,3710.7613495197047,2976.4849744550083,3190.2246149415037,3272.24201555983,2967.283785728068,3169.6264016219757,2911.9339845952118,3123.963591900538,2279.404661797949,2732.7963205187366,2157.6733430255535,1388.4996648699953,2445.129212471553,2514.2456965887286,2927.911726621506,2762.046718443652,2420.3854131698017,3036.15264741863,2606.1400715766986,2669.1855953711206,2585.9154807659443,3063.9156137490822,2669.984433745291,2449.3905706700707,4125.881443992355,759.4421384511767,2820.2947932029792,1973.402135438552,2613.1482954032967,2889.160594958384,4566.124434917541,3096.6776554547396,2682.741290998265,2780.532565214294,2083.4355444347148,3075.5203634379777,2777.321810279654,3364.5333517371196,2967.795954454539,2739.9824283663415,2570.8519372823457,2741.2134170498334,3307.2146543213485,3091.5530992171302,2003.0097815458905,2951.5910747779562,3305.633136098859,3139.92036385764,3104.3418191268956,3351.555724191091,2578.6238620668055,4530.080683426053,3024.3454021306807,2670.9952309408245,3146.413406331126,1779.2336496234075,2825.623928092348,2917.458206233451,2379.971437426358,2795.5592261340034,2563.0941585472906,2860.1750799354286,2900.9395649067565,1814.6054028107187,2276.7648718676287,2187.3834370332656,2733.699800102391,2999.404030401447,2314.1078403553715,2981.7050686852194,3151.0806986376483,2687.9076929859384,3371.7109596304886,2513.511534905756,3178.9606435314704,3171.212514949062
All Hispanic or Latino People,2835.6782399252675,2405.7612990527487,2923.9060892102657,3595.9939517243442,3194.328703739883,3366.6849248767803,1804.3285098534866,2776.4986707154244,2409.106763720745,4073.4858787604107,2466.55253839138,3084.488021716415,3050.74834233082,3320.153297857342,2525.4575781997987,2623.787517522515,3485.52809123948,3495.288602459969,2988.9546962512477,3123.785590383169,3270.0419289366682,2602.662611897199,3163.632690345077,2934.74035552193,3172.525217426957,2341.1348312205137,2775.8264812317007,2226.1341600236196,1377.409749034749,2685.625616903635,1591.0,3043.1209472990226,2724.9543454278555,2227.8730057096805,3002.907595803803,2603.294490051253,2807.9562410660765,2488.944211914649,3076.0454306399133,2599.0706491661026,2439.090864378867,4219.387245664392,798.2895374108602,2889.0852868517704,1875.754172015404,2360.1557684834365,2941.198453410768,4701.569717338849,3162.37396319626,2565.618074906111,2788.697558373679,2165.52886123286,3039.6407834072575,2801.888925362967,3524.28117045477,2919.7347841892365,2721.755613651104,2527.322110770663,2685.900552704329,3792.7885039058488,3374.333878012653,2008.5606022531965,2913.0257625312142,3334.865363508199,3170.864736206204,3111.675163642244,3046.003586371787,2422.4545837913456,4598.862211692945,3064.100443864418,2704.2121572574306,3236.544904803546,1663.7462472552465,2903.0109387024927,2871.0736250121276,2407.1260145319397,2575.172594940359,2611.975691185221,2845.9989302106646,2939.521200894307,1823.7567860814386,2356.869481006216,2174.1404735117007,2638.9862987781335,3200.9094076165343,2386.0622327089877,2933.202135836927,3183.982419452376,2812.685271445249,3391.0014706759302,2579.740851068223,3359.0924082079646,3245.302638685765
All non-Hispanic or Latino People,2766.961905861577,2429.193173562201,2877.945054592394,3486.0492891341337,2990.1025256506005,3281.0297669343176,1923.0239697550137,2833.6941364196305,2376.214102095764,4411.194728460805,2458.923039899619,3003.9712494806186,3068.781290013038,3168.6510296334914,2415.2767917034075,2568.640434318776,3092.6664595380535,3751.571328841235,2978.9551770569674,3274.4627889082726,3254.2983601291926,2818.4131512999897,3178.6423034606732,2908.749521650848,3114.9155748836592,2271.5426873797146,2774.510875746495,2085.1117658313087,1796.9336326798816,2482.501756641024,2511.288303130148,2845.318030190681,2759.792721526295,2587.4389402522957,3042.2447863430816,2572.678802498902,2569.878537715536,2600.841579605311,3075.9214914932068,2711.0397569381125,2474.9039059807733,4088.3575771431383,777.3775706489864,2819.411493874198,2118.228871962278,2642.843038932873,2873.014914793108,4541.476426841334,2982.2509002139195,2812.201439858018,2740.6241831302164,2166.6632697256123,3053.4192834779174,2769.846481875579,3404.904479323734,2965.642176268396,2732.690702293201,2570.603232347762,2760.5947248920797,3092.3658911202347,3126.745939337292,2026.6392881103804,2953.646120463924,3239.5815986112552,3140.8412168172044,3085.6840096281226,4032.8422245467223,2697.2139883651453,4529.165774708421,3008.424568925491,2661.087563411886,3171.454305313817,1852.3241072629737,2792.9245161501517,2910.4413835798023,2294.450639844029,2837.2152458070696,2556.0241947719273,2877.1823187122855,2881.5932557526708,1905.0059712717948,2219.7399010022486,2181.957837221531,2801.628201681602,2954.1209261630434,2259.715136909075,2971.5180177419315,3127.407705863595,2749.5610130394,3324.0446571653897,2550.443264955137,3230.9186777588775,3165.409459161707
White People - regardless of Hispanic identification,2768.2459390630543,2460.0210862693084,2871.293145433381,3464.0275104904667,2985.2818384607594,3465.6886298825534,1890.6050925702098,2798.8685948679095,2487.2214456323704,4374.205163000138,2470.1058446590573,2980.7375118510076,3070.304692016231,3304.596209137796,2485.783225261961,2527.9028750985126,3169.182805763012,3680.9465988428556,2959.122964173965,3217.3929079471513,3245.029650318602,2713.8618015270113,3233.7969373939845,2891.8829720657777,3120.937251177246,2375.987673194556,2872.1683416290603,2137.9872715816914,1635.4421806224293,2572.3931647568493,1591.0,2885.6820883069768,2717.1863665644114,2570.078116230985,3041.834997839314,2535.6726722467283,2567.608349321615,2581.240777799391,3099.3105325160373,2682.026891430573,2700.2850908577157,4034.8988124371003,772.1179791539481,2853.5871676059037,2128.691601937203,2472.2263775672945,2840.844628093847,4521.531797631079,3048.3291421858116,3034.7430721221467,2746.2739292887654,1846.161768957454,3087.6595471764663,2745.917129383467,3431.9565095886674,2954.392201443632,2734.9496027788427,2562.8491494713526,2709.6791578472385,3153.411317228748,3123.7612300635606,2035.764513819297,2905.131628795262,3308.8911574920685,3161.879219069378,3068.180182025135,3596.658999676,2678.9813980187237,4538.783946709112,3038.391640241285,2682.7138294776432,3239.560864722087,1835.371335000279,2797.5116552946483,2867.7430127273187,2298.2309624263107,2788.9484567936647,2551.215306084887,2827.379488344186,2927.1702698805043,2012.3878467573277,2290.2382832417347,2177.1563654952074,2834.7572217638226,3020.242920942394,2400.938724770709,2999.114618726453,3155.096848551114,2719.3044179196204,3397.6136729273308,2714.9044704544754,3436.095804014264,3271.2990608893674
White non-Hispanic people,2748.9461656434537,2472.5561693669943,2854.393688841184,3419.758032819155,2916.2786210738163,3473.3316802907,1900.034416229052,2803.4860094440874,2522.9825891150613,4463.780456047656,2467.910602212092,2949.656407577069,3078.885306878264,3295.4585412752917,2460.3360184986473,2501.6199797895483,3080.8106301864827,3749.306525926359,2954.1605868088395,3237.9258980547093,3248.0118164940163,2748.4704507407055,3247.4786174839924,2879.639916766019,3101.996905068501,2380.8406119327233,2902.701492666097,2098.0270170550325,1626.8886597938144,2526.8150084963836,1591.0,2845.253287721273,2722.5950499120836,2692.9686888090796,3055.469461114622,2510.545446820848,2470.943167868651,2610.0601965110645,3103.6875908742104,2705.1201282781262,2775.3083391823575,3982.741583336033,762.2239895432215,2845.767276342474,2194.4576923076925,2526.7632456334472,2810.356476317617,4490.191024551909,3047.4633009375384,3163.444978536141,2743.0772360474,1748.7323579717195,3103.075102599861,2742.8806725859167,3404.0539968370927,2964.3028668971865,2738.3608536010533,2571.863572786798,2713.7290295264156,2962.457293166891,3061.1735332204207,2047.039630441956,2898.8424205644224,3293.9333450464196,3165.691867647004,3055.656673307219,3785.8151301386524,2750.350457427349,4520.748530389679,3035.097554302902,2672.076171824143,3237.8471540902638,1893.266890593173,2766.6632209590025,2860.852082331542,2253.508523884432,2864.4730770360284,2535.7772802719137,2822.4350783056025,2920.768828650853,2070.662377903179,2267.0117991436573,2176.558097306647,2899.631709367009,2963.1994691385903,2397.803763497378,3015.2349239899486,3148.4253215246063,2702.0839887322113,3396.6916919925716,2748.8191972105355,3445.5454435042143,3272.441218129003
Black People - regardless of Hispanic identification,2796.9868440000855,2368.2853029745356,2908.6509780930915,3554.405596840508,3017.1516555404096,2985.384568988176,2039.6155720333534,2865.9306519948595,2257.578076206639,4363.781261403413,2422.42169882167,3083.503243669098,2984.931775724131,3067.789808902434,2409.8873795711565,2643.619253432535,3093.6078788938876,3728.870237060572,3000.6336724263065,3414.0165287850773,3263.070850560066,2939.361524987182,3109.2801177948945,2945.5604796620337,3125.755156349675,2190.4970087690467,2592.44711535796,2096.3274123712326,1952.8356785849658,2461.726541231652,3848.725321888412,2869.085226369542,2813.593017344495,2466.078823836872,3023.09155048247,2655.291780849608,2598.326343707371,2589.00379066647,3054.523344628065,2739.769264648503,2144.796055207175,4268.972626683422,797.4252633851877,2802.7538154467507,1763.969343770776,2717.1644310569036,2948.801739992563,4736.326845504012,2673.390459446686,2566.4225369066744,2671.041155466799,2373.2935061460335,2992.1199686540936,2825.9936311620822,3451.2233398390995,2968.932946489283,2711.9250054281533,2559.6541943377465,2806.0294497190166,3451.5492311385733,3424.8333201478617,1978.3442403997922,3026.9350393063864,3124.20843726759,3103.1878034987612,3106.8003083429057,4636.599381693904,2611.4774317246065,4586.16472941868,2954.172986595488,2660.825321955885,3090.0651599497273,1691.476864565249,2822.136623372216,2970.755648549402,2396.9215942341816,2841.9667692166845,2587.8058796814894,2959.7849652329905,2852.956307212739,1611.1942454594218,2163.1202515328855,2204.0184085172377,2725.7014671272573,3009.767327507301,2084.835594361275,2927.6860186675067,3105.4301426679517,2785.7711556353997,3251.1813520251,2386.2008326686414,2977.2724411859567,3021.9985585306285
Black non-Hispanic people,2796.912700918126,2367.849066107102,2908.1642498525375,3555.8068049711346,3019.826004125314,2981.620067644177,2041.7874930955197,2867.1684296181206,2261.6227505024854,4364.454201074949,2420.124825870182,3087.3948264765777,2983.308716124096,3066.171334173483,2403.9532876444882,2643.5651292898397,3093.685883603495,3730.2146252930197,3001.842878865415,3419.0836565986324,3264.2080326333967,2941.2924144532185,3109.125924020535,2944.413066517024,3125.3471058148666,2190.6285858445,2590.8132270864785,2097.04141644411,1968.1004926108371,2461.6394472260818,3848.725321888412,2873.508903501047,2815.60202622421,2466.220410206791,3024.522905833037,2656.6705824186583,2575.996763609851,2591.0290336437965,3055.008920626721,2742.887890716567,2144.2145365343213,4266.9322982935955,798.0084500201149,2803.2355147318804,1768.11852433281,2719.6265693746664,2949.67413562191,4741.334385659337,2669.435611350964,2567.202002505787,2665.0071154240272,2376.6938216601193,2992.285588721648,2824.8657773501986,3453.87221720466,2969.4961550458997,2712.6479875056225,2558.6090446064886,2807.3506402398984,3458.973077054321,3428.018822455271,1978.09861744701,3028.9489625372785,3122.8788524905517,3102.162101623091,3107.210109913198,4655.675105485232,2613.001498727949,4585.396206096752,2953.0566496987913,2660.851515087315,3087.6692698120532,1690.4958312111537,2822.091957396911,2973.0961096300202,2401.382787592985,2840.573952284704,2588.6242116126773,2961.2822929776025,2851.5669935678593,1608.0072199727488,2161.939231801054,2204.238128037191,2726.812360895394,3010.7950629966963,2085.62736909806,2926.110833931638,3104.6726399148324,2787.2982773223757,3251.315085721101,2385.313316983281,2973.3905352726447,3019.9409756592113
Asian People - regardless of Hispanic identification,2712.2063654131566,2501.3784941810727,2861.894509425039,3541.0103548295856,3109.0082102797273,3407.9849376501957,1937.246110102173,2823.376108066404,3067.10044619624,4360.9948588691095,2514.49432082597,2904.2443067295044,3157.842428227771,3336.649835553492,2391.2588755930733,2555.750289399608,3129.3521959413174,3889.1213072818846,2999.886569335835,3124.9628091397794,3276.783584062502,2866.643153315357,3185.0341126151147,2891.446787850839,3135.4441854367556,2269.1630183366583,2968.582847935684,2040.4189373512243,1817.9423076923076,2447.0836255843283,1591.0,2715.5188844311724,2641.9225533887834,2483.731040917466,3073.005130297643,2530.2343334920165,2948.835503575468,2618.5425586892056,3050.954035587608,2556.476486951248,2827.5668867242075,4041.0543042446225,763.9275394403047,2779.5829057097912,2355.0,2687.1720792707542,2862.844016862437,4501.768544564309,3136.5773665621805,2561.0076376270663,2948.510325675705,1681.2130202044714,3086.4929673041197,2709.4257838753524,3319.732467661141,2958.1016325230808,2790.9922743295133,2618.8922321872296,2787.64035830111,3061.8202394482696,3228.8371889365885,2120.2121733602685,2914.417743307238,3489.905835404213,3220.146521392218,3132.7433662765934,4809.288987991309,2719.310830532174,4509.000552833725,3027.348377236036,2612.125173274676,3213.7455978208577,2113.8976867470683,2805.03842147261,2879.1009980302697,2133.890993553362,2793.146147967897,2192.447425662789,2817.9026357074713,2820.7177889010763,1948.6673550983892,2261.657005791456,2114.963567888575,2816.82350232941,2832.909890630091,2410.787905179471,2979.541592313215,3126.993187664077,2807.2843656870364,3333.4063297433854,2584.2274549323315,3207.6560154114973,3222.5555245736464
