Far North Side,76,9,10,11,12,13,14,2,4,77,1,3
Northwest Side,17,18,19,15,20,16
North Side,21,22,5,6,7
West Side,23,24,25,26,27,28,29,30,31
Central,8,32,33
South Side,60,34,35,36,37,38,39,40,41,42,43,69
Southwest Side,56,57,58,59,61,62,63,64,65,66,67,68
Far Southwest Side,70,71,72,73,74,75
Far Southeast Side,44,45,46,47,48,49,50,51,52,53,54,55
