,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
People under 30,2.103941497356822,30.73568995795871,1.6350455842392029,-1.1043732890736482,0.11968653158388853,0.013795411189413714,-1.5032426556561909,2.2199396499223645,-0.024896409347992032,0.9168169021139907,-1.463760520224863,-0.0024486724798076635,-1.069678008232746,3.233361634610143,-0.015783927924451126,-4.736085642272579,0.42007318676953087,-0.11314097514996416,-0.049177999752119776,0.01507988446986575,0.0,0.0,4.0539402143941174,17.40051372745353,17.330772408836204,0.022842368822219183,0.6481959946287915,0.27803018154006826,-0.10906427742758777,-0.550357110036282,0.0,0.003974515248391632,-2.2458120207915586,0.0983203725680571,2.049629819887675,-3.3140151042832535,-0.10400694103057403,0.8018468836962058,0.3063377232651036,-2.4567717399595375,0.10034742078367251,-0.6461412168236135,0.6164915934350164,-1.9432429772506699,0.0,-0.02276967296807598,28.254459555515858,-1.0037236140727754,1.9020716825691384,0.02275965697361884,0.030928446312332318,0.418269092738731,-0.12433777299315574,0.19757797460617602,0.9198870192524944,1.5793811841158119,3.1778114920983946,14.255145741293635,12.007371859107725,-0.33766985321940074,-0.5733337969946312,-16.384571464113677,13.283131729528481,-0.17084301878443733,0.25313574278470524,0.1362401330582602,0.0,3.5996174508648067,0.06656330926478031,-5.615286571462938,2.7209838164778777,0.7471450974141988,1.098812035960876,24.009249625993146,-0.37773691776742974,-4.969364978110257,-0.17423269332613053,-0.13047894075473263,14.089012184248379,1.205175332896459,-17.125297728710187,19.194771873683848,-27.3137956320029,-10.061650863223132,-1.5141760389065121e-05,1.766063679078361,0.1598803717315277,4.9271206917409245,2.8427582762633543,3.6392269865968063,22.24251940615571,0.6043989243558024,1.9022711367201373
People between 30 and 59,-2.677617678653733,11.362097849492955,-5.473902641673908,-3.5139439000625847,0.018218536603210288,-0.09856361940998953,1.321575539927675,15.834780012707363,0.019748384207989654,3.7319892258350245,-2.502780359668797,0.009084484149476681,0.06172487898504615,-4.420672541257435,-0.1996366202131333,2.5478598878751093,-0.4645922610709224,0.05882619422019814,0.28335553998326607,-0.00435985264477142,0.0,0.0,-11.924868763791967,11.181116523353008,15.701997907813677,0.01504725359662419,-0.41315193502913755,0.6613485117266481,0.05512984711127496,1.0722344426391128,0.0,-0.09945487478842609,-2.452784215344343,0.8511266100594813,-2.4756436391720893,8.430171073955744,0.45656818878702216,0.2601364228461357,2.1126134405534387,1.8332676911209316,-0.05530148915726917,-0.4656084875406499,0.059139639054602414,1.2796341376202136,0.0,0.3605890190271357,-5.4974992467045105,0.41863930547862704,-1.0949552287478046,-0.0103295188108512,0.2398220700440084,-0.15467353899452876,0.424904493255533,-0.04849604067425636,-0.32379245917198285,-2.5521060595453764,-16.181637692838468,-10.17404609459294,-31.529061853383475,0.7585458895419112,0.14714176385383063,-12.898001544982305,30.20475606098085,0.33222296582545563,0.9124604266798857,1.6462553076434991,0.0,-1.5847858723343828,-0.09808558789118875,7.973514450169209,4.045056604406722,-2.2468419775595843,-3.777740681082216,-3.0440149727260817,-0.007564884205057689,3.866773845756851,0.18704607826744862,0.26132992135570393,-0.24222480504906727,-0.2130904161752848,-44.68298260543745,-13.711226854252953,34.057763399311106,0.4152815900891393,3.965787149552898e-05,1.2436401926494511,0.45675524997925254,4.778383364950838,-2.98921092571574,1.12801782886229,51.91298123959457,-0.9875236330240141,-3.745683615411366
People 60 and older,3.712416637503936,-83.78300765897114,10.033458119526198,11.167616701796241,-0.1329533749665909,-0.05017301952119265,0.9283885038681057,-39.86606706194341,0.007226180267171526,-5.91778270234993,-10.560350230206103,0.4398859445080154,2.7631917324588073,2.466882034310062,0.9535827770019488,6.016951282854141,0.8720418183821289,-0.0807199908157728,-0.05130693110628252,0.09644576951987134,0.0,0.0,19.055155666061122,-54.38158017952826,15.009778442631838,-0.04504355023162688,0.4222820180067583,-2.1078336717202344,0.12933064012658718,0.3052657016065899,0.0,-0.1168267901905901,11.363480357918172,-0.6825796072382254,2.699225545393161,-10.571187115506492,0.577292650686622,1.5959457047254915,-5.889693201928162,12.454737191295383,-0.039060256671169594,6.166447872935717,-0.8402463962816792,1.7870798663047578,0.0,-0.4230279866006332,-36.55065446439088,1.730939650777925,1.9084774519555796,0.1362740796934142,-0.46445762941461305,-0.41293287278505836,0.4945971107984642,-0.6362395233651494,7.533028014079973,2.8337971029027638,33.26308791185708,-7.813596396803971,33.997402863736596,-0.3889165587333506,2.134694979418387,-12.370020867145707,-67.17018976403189,0.19293524937254874,0.2413495753203289,-0.8118384520871949,0.0,-4.136209683786187,0.10209750478650276,-0.9313536109229349,-16.958090004589707,4.693125859805738,10.174487712394159,-31.758798361950603,2.7510131642871842,6.557642542881278,0.18626153618058502,-0.1112386124373511,-25.461105121076823,2.340548029196363,121.7140476216857,-12.399392636600206,6.670942724424891,21.8650504522147,-5.3415931005981655e-05,-0.7242120576640168,-0.008581293718286385,-10.06731437682246,-1.6515873427074663,-3.389462483505498,92.00493378082966,2.305577521296288,8.165665636233356
All Hispanic or Latino People,-6.305674594086797,-138.85552559777767,118.74938148969439,-23.422249981355527,-0.06229933183223259,-0.4056221830538867,-11.891072775216486,74.20837973115046,0.05081941481397182,-2.390313091088332,1.986088797638204,-1.3738441860604989,-3.0924676519457197,-47.77361177014859,-1.046685488380514,8.093679134355437,-6.5840046907791425,0.32337756515428634,-0.34782773595725025,0.29502905236296767,0.0,0.0,-86.38308596044422,52.720828531610735,25.08052279634217,-0.14348213340362995,2.3237277183480165,-2.955884861817063,-0.2560464338127374,-1.6833830673254264,0.0,0.6623238175431708,-33.25504123622882,0.836783446157478,-17.66076425393855,29.65808592203726,1.5263628276205075,-0.3810682494108666,12.831864367810796,-16.650019089481713,-0.10346626338587707,-14.92236080055477,-0.1709730913243573,-1.2892749955693743,0.0,0.08484193378273465,533.4466963045157,-3.6162599039023977,-11.525658514133045,0.05075004394215286,-1.2437398967867852,1.200151986865717,-0.45903656054982384,-7.207614308843591,-0.42183671813855006,10.795798610986505,-84.15694483600299,12.004087320527791,-120.9669346625393,-4.176013032863124,2.878832664003991,-63.94333551584194,216.9280162679131,-0.3735811296601729,1.7566234970554635,-2.5050903381969087,0.0,6.113683396420645,2.323461582344687,-35.23021219515097,67.76160032091418,-16.31285088316926,5.25569421456416,-248.51598162409567,0.7390561585819854,28.844831644089368,0.9261316852126711,-0.687613559230354,46.00085349886831,-12.209531528395766,-168.07037705975046,34.89288094761774,-271.0753679055447,-61.94346712153215,-0.00011052681529375757,6.615319261292149,-1.0691097481500973,-21.58591231924931,8.973860583851904,5.7197499851018465,3.97013047657051,-3.30098354546468,-19.492858880103103
All non-Hispanic or Latino People,4.182134749093791,61.31022718471142,-61.10226999363338,9.692252924905121,0.05098627960980035,0.05305771936248449,3.1157562785549215,-23.18192930032393,-0.014685992608139152,2.3239565342003807,-4.035081529175816,0.4809030836048931,2.7540641947050593,7.67272833150645,0.34254229613099596,-2.3466870457618905,2.6051941708920343,-0.09980729943849977,0.2065162400730597,-0.051765074947859195,0.0,0.0,26.778768915506756,-19.652934399985238,9.776875095035576,0.051979083750261584,-0.4990247176433278,0.7683316608895271,0.05716974976902357,0.8532572478238719,0.0,-0.23328374957977938,12.302293064732432,0.04952812907210683,5.6670035057845904,-10.433625794033135,-0.10262839957123121,1.0859253204989825,-5.675805282801198,18.346525042913647,0.04645281195151131,6.270026437548453,0.247025777277865,0.741845641932177,0.0,0.05236833694647969,-201.80844496640768,0.841678984759071,3.0956066919346434,0.007579605392616913,0.45365579390871635,-0.2572275865489603,0.4019536230178849,1.7883396264595097,1.809121688231525,-4.571676299586266,27.28723561851875,-4.726523383287246,43.82863045636712,1.2899593744536482,-0.48645756116639466,5.648123339374595,-70.53556684746796,0.3084190715173093,0.06240878912895099,1.8399070750104993,0.0,-6.770610871572321,-0.5552203861246257,12.906430916947729,-24.940231211531476,4.9703250720416134,-0.8908944468535017,90.32237282476163,0.24865936521004806,-8.378266827955159,-0.24025158675349598,0.3223692537563718,-12.300372647918927,3.8779448643880414,53.32032154555372,-12.958892919845486,109.01075773328255,11.691638886118511,1.5724027483890788e-05,-0.9100639476346329,0.5952684883645419,10.190853729665799,-2.877461254801298,-0.09627815454098303,51.73478395167505,1.1999558552766212,6.792751484432584
White People - regardless of Hispanic identification,-21.96424066340188,-23.807138160405046,11.85740344097106,-30.308654462916255,0.30443554158874725,0.16842959562402568,3.521950530227838,174.46192629549427,-0.16452155193376794,5.596263339659623,-11.075490219815,0.9557327892998823,-2.448570117396617,-74.76015381894962,2.409335505675828,0.810246766823204,-0.9422488885441885,0.4790977510020106,0.5091132321041831,0.009496807876789049,0.0,0.0,-114.0423510415919,70.26914388173914,14.003010778164706,-0.1157714361577732,-2.3909162576580694,0.8584048220655733,0.16249806159537294,-2.1505697628960516,0.0,0.4048822882165137,-37.92281315947896,-0.7961880112767725,-27.09854924182696,71.96396370028084,0.7834853803098326,-4.486176342903229,13.150257237315468,-4.6416443279686845,0.3730885084051732,-6.24611009175748,-0.7450636517017584,5.1126802336855395,0.0,2.3603812253266794,97.88765066310764,0.9928987456633525,-1.1700301933333512,0.01156177145918938,0.6188203895308327,-1.1074238987940213,1.9473320175716173,2.9709609183857393,-2.2958361199251685,-15.715753201256874,-153.17716675208598,-50.924702101904565,-347.36952008445286,0.30782062523301806,-0.6144124780666598,1.7189071095365933,355.091744552425,0.5454453222305128,2.247330944521884,3.2244248863464673,0.0,-6.258498053121134,-0.3009122087380368,7.594760737009625,92.44412971845833,-22.063843572961648,-31.094111000093115,-34.56010477918892,0.13626007122505807,15.369075908174915,0.9594137527490478,-0.23789224931764566,-12.974173260498107,-14.270949449646578,-260.9923841065837,-18.848184582556012,100.32174182436762,-66.55534351523248,1.069917742099821e-05,3.240546448044992,-0.6544610354999185,13.867836285793222,-14.699383693286011,-3.896879350873361,48.0972052810392,-6.61113664837963,-23.751048752069245
White non-Hispanic people,-28.675445892985483,67.66247816817385,-35.97562821237544,-29.06808496458321,0.47324069703291916,0.2685162900254791,7.006922442094405,237.7766101310004,-0.20183693598121008,8.406965907099,-12.030149669595678,1.4541701480095146,-1.311279108943431,-87.54380825254484,3.6769755361482264,-0.8710592480672974,1.1105566531138982,0.5167806068079875,0.5519672331487898,-0.10627245358837986,0.0,0.0,-125.01446209864612,61.73743313525121,9.00224587370166,-0.047052445723331,-3.8367886460432463,2.250629483554644,0.295616920688532,-1.089118382373537,0.0,0.0843641496681183,-41.00307603604754,-1.385895134882645,-30.38614641222436,85.68931950332588,0.7958405798587633,-6.564838176137473,17.109452153743142,8.379305145287857,0.6130440761003317,-3.8160197180965763,-0.7427392281930241,12.020965752304006,0.0,3.4041392362050424,-60.41515566382116,1.3381133702969594,0.3707081176073748,-0.08790993931554554,1.242006561667435,-2.5552479570994517,2.9364624711397904,6.552568377304329,-1.642493170518179,-27.641496568231254,-183.12300133870252,-79.57480131138131,-419.4451475765577,1.4309975661154017,-1.0393774809720917,30.53173152127041,411.560665080906,1.0458618923081344,2.30547216088053,6.55967844153586,0.0,-18.219417471781377,-0.6875433005549533,12.752218509164027,115.19573502251608,-23.429340557097614,-40.78843875557411,66.6819865212718,-0.284852727573477,8.525246306060584,0.9544347544996978,0.7829242319700077,-27.839657113291736,-14.235905960827903,-294.88467607295826,18.111622873827745,267.59741512137464,-79.73629004555926,5.1318409736554675e-05,0.8685137996530795,-0.4461868309038695,23.08468558059407,-24.249748318864334,-9.231675728667996,77.22915444068535,-7.552484240384496,-23.96388334253824
Black People - regardless of Hispanic identification,45.35027475961508,31.38424540514203,-78.61144462881191,74.81458821455128,-0.19354848712867942,-0.2710197678025857,-15.071593363657213,-156.7728310303867,0.05176836391746031,-5.21108681835002,45.79178988853991,-0.6997057659001447,24.356911605695817,22.674419644993446,-0.5502073209872689,-2.327482982418013,5.130606054460928,-0.6356117592573544,0.021671884973614833,0.039927378466663534,0.0,0.0,97.2843046740727,-80.88127792180619,9.44957146493807,0.08856036029930674,2.9010165655366444,-0.47737411652144246,-0.26279525281273225,2.7447611034955877,0.0,0.8164436261616012,55.40589162067772,1.8799403375801016,34.45759962247543,-112.62250015332197,-1.1907777972701834,5.2215368846845776,-26.032117761122517,26.95643125666876,-0.4305571337176564,22.510581492485503,0.6744708423771513,-7.463902323028072,0.0,-1.6169006935748222,-341.61185230706315,0.17376613722403284,16.182673164815842,0.025718180691931106,-2.718825423950684,0.39460087675298333,-1.0686560961221874,-7.889764472741218,9.945040393448602,26.87606968577852,171.4759889039289,86.33119163811868,575.0691063038577,-0.17555835794016472,6.810528457985644,-54.460532081571266,-597.1419744202012,-0.6450306665807147,-1.5884565182017791,-2.5420954507645357,0.0,14.78317137144131,-0.7341894347106136,-10.342571026446194,-73.53076787622122,31.5572331727912,89.91068468168017,94.1719391906118,2.3750193763996545,-25.73521207171132,-0.7501195483544458,0.15526257989780526,6.38404508854286,14.825072946827154,688.3241646954093,-44.23583186637211,30.252804599484495,25.52914321503707,-0.00019763267244931896,-3.3486052493435476,0.930647266134539,-5.689466948477017,17.12798159184812,4.523660861364014,47.48563992273874,13.015259457469298,125.61907301143758
Black non-Hispanic people,46.05627623835121,31.137495669978126,-82.28451365568473,75.61062933793713,-0.19687796236092933,-0.2544320688848007,-15.272989527755836,-158.3773898158689,0.044884349181869315,-4.814583932810756,46.54965290304927,-0.7554902839274199,24.64588469744452,22.880121448545644,-0.5904022735382982,-2.342159565481466,5.201852705150924,-0.6386883214722812,0.03445454189611987,0.04238536634604977,0.0,0.0,98.15507315675814,-82.33600875238277,9.127750145961874,0.08669077812133417,2.9320621846429282,-0.4808338562439368,-0.2736072631410997,2.705145315173166,0.0,0.8081909646078933,56.25127742008981,1.7985972463632864,34.78798922620599,-114.03507420346246,-1.1947038017300167,5.326106149372765,-26.424014820966775,27.724010717461606,-0.472798902228443,23.090428937109774,0.6604549106688831,-7.624383343068929,0.0,-1.6181125454182745,-351.8253927086256,0.15095462460780262,17.17633503089297,0.03186120769201261,-2.688981866160947,0.40114756538063995,-1.0762125147247428,-7.81672008429618,10.196815929854653,27.05908121789773,172.94433010405675,86.73235451669879,581.77749127933,-0.31500582081493533,7.3522062505519825,-53.31087485851329,-605.2220041335592,-0.6468330767293599,-1.5910097558064034,-2.5431160625286124,0.0,15.304073723090413,-0.7284965150444426,-9.429920306041398,-74.34326753042062,31.91585672939713,91.54990109537418,94.07504274031216,2.348398039490855,-26.37593545335524,-0.787676783346991,0.1765684626573855,6.210058881666874,14.904491842268486,699.7927861931784,-44.855343311994815,22.299864617916402,25.77567847573785,-0.00019859355003310337,-3.371859967924366,0.9479311055010397,-6.392352047899637,16.981849246969794,4.525168083153198,47.9787838291013,13.144488989543936,128.23789936096355
Asian People - regardless of Hispanic identification,-54.25849247071587,235.6121055708874,-110.61685270163261,-111.26948977775992,0.6228639883577435,0.35199742152641794,4.0796061771647425,129.64700021028315,-0.06283771065616686,4.349880103536102,-13.860720895963889,3.1250908075512758,0.7788162983381364,-86.15088401387025,1.0376105083710931,-9.723254512398084,-3.235057957551414,0.22369263489097668,-0.24355639259278822,0.0066809511286236075,0.0,0.0,-110.70589021496066,160.32836026515048,14.541197329827488,0.07493130491333948,-4.8256673647225075,4.384858442751085,0.12487207540134179,-2.082424905708152,0.0,-3.7513143150605743,-95.44321727305226,-0.6479561562316427,-26.998728106491274,21.6506500911795,2.1082725627232866,-2.7109587826222565,20.595147399783222,8.71513039104199,0.7978697900488394,-10.062287876396722,4.1272468618208356,18.272381811860726,0.0,1.9043175419767544,-283.9309928662003,0.33709199841838394,0.1538733018537208,0.1927749649624914,5.659240606093607,-2.351095662097618,2.608828749516545,12.122818764394482,0.010975935604433279,-26.16634800662309,-155.27719686455845,-8.424283512182438,-564.9928773551404,3.2614460373934278,-3.591906564453593,126.01453636715762,324.9778367971845,1.494456286831598,3.4788133549822997,7.837858629168824,0.0,-17.961584546391702,0.176592172738857,50.13149432392329,126.6143500555724,-17.16423074852451,-9.85780771096816,188.12358633485115,-8.243604946482048,-28.271766210535464,7.184271180051442,1.7356043583867589,-8.752503448273119,-15.299975531405428,-61.69248995700286,-38.55426026745417,-370.38874876380197,-103.63958752651477,0.00012842624461443307,1.3886495148188738,-1.4033449031532976,15.886761681096614,-4.317191805800739,-1.3146871798225386,325.9647016556866,-2.759515991455612,-19.49280561089298
