,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,"21 days, 10:14:20.119450","101 days, 13:06:21.470674","65 days, 12:58:49.803129","88 days, 14:47:44.269408","2 days, 4:57:03.221918","5 days, 23:14:11.435705","124 days, 5:42:08.154267","29 days, 22:45:52.473680","3 days, 9:16:51.874558","27 days, 4:35:17.365024","68 days, 2:22:32.672229","70 days, 14:48:48.323130","52 days, 14:12:58.320378","10 days, 4:08:37.733643","20 days, 6:26:32.013400","77 days, 8:23:59.366052","29 days, 6:23:29.601635","1 day, 15:27:56.049060","1 day, 16:01:58.030359","3 days, 5:42:49.052320",0:00:00.316701,0:00:00.475233,"6 days, 17:44:42.254383","26 days, 22:21:36.404446",19:40:41.262728,"3 days, 13:50:15.927416",17:41:09.755294,"130 days, 7:51:07.822072","142 days, 6:00:22.190760","26 days, 1:43:32.458246","76 days, 23:07:34.589385","23 days, 8:28:37.159956","32 days, 0:26:28.867669","90 days, 7:08:55.925660","4 days, 15:04:15.761449","38 days, 2:45:22.076391","94 days, 8:21:47.854162","1 day, 14:57:09.438469","27 days, 17:23:33.505825","4 days, 19:02:10.568358","47 days, 8:44:10.992966","71 days, 14:38:17.889213","6 days, 19:10:11.076078","22 days, 8:47:21.129268","23 days, 13:28:57.585358","7 days, 7:06:34.195487","37 days, 10:35:34.544945","137 days, 8:53:55.620419","67 days, 3:23:52.016525","11 days, 16:25:28.167013","16 days, 1:17:06.938999","98 days, 20:36:34.697936",20:06:52.247310,"36 days, 0:18:15.150428","172 days, 8:14:41.519434","3 days, 11:11:33.781202","6 days, 23:49:22.726201","45 days, 0:10:00.698300","95 days, 18:03:16.954790","57 days, 12:57:40.795599","46 days, 18:13:53.550219","187 days, 16:48:41.254978","25 days, 17:03:13.250100",19:07:49.640519,20:53:50.820113,23:27:14.142854,"5 days, 23:52:10.655318","4 days, 4:06:19.396088","34 days, 18:40:11.802111","8 days, 3:40:06.365211","32 days, 6:22:31.413274","5 days, 5:40:32.941548","109 days, 20:02:36.155106","37 days, 3:54:14.248765","4 days, 19:41:44.776307","254 days, 18:08:55.590750","44 days, 9:33:17.896474","37 days, 4:08:03.979057","7 days, 23:50:27.892025","4 days, 12:24:54.609424","293 days, 11:11:23.466582","123 days, 10:02:05.969356","128 days, 14:06:52.122502","31 days, 15:00:09.775390",0:23:31.069808,"54 days, 22:37:45.801671",19:53:39.553252,"20 days, 12:02:54.866338","97 days, 15:21:21.043593","4 days, 18:55:42.005510","3 days, 20:43:08.596138","7 days, 23:51:17.820338","5 days, 19:14:02.831542"
People between 30 and 59,"21 days, 7:47:31.961060","101 days, 19:36:09.803965","65 days, 7:45:04.332562","87 days, 7:11:40.890032","1 day, 18:21:19.701354","5 days, 22:09:36.046886","126 days, 4:05:39.927128","30 days, 10:48:16.385602","3 days, 15:45:20.003919","26 days, 13:40:57.724217","68 days, 12:12:59.122814","71 days, 6:41:01.192600","51 days, 21:26:46.363701","9 days, 17:49:18.565513","20 days, 6:42:24.402723","79 days, 10:05:13.209436","29 days, 4:09:58.384360","1 day, 17:01:35.765024","1 day, 16:22:16.144403","3 days, 6:08:55.967726",0:00:00.317231,0:00:00.440054,"6 days, 5:40:46.434404","27 days, 2:03:32.461321",19:59:44.271327,"3 days, 13:07:34.761918",16:50:38.874445,"128 days, 15:31:03.749516","159 days, 3:23:59.160305","28 days, 12:47:00.378995","74 days, 5:19:11.793790","23 days, 2:31:47.693153","30 days, 13:14:49.259698","88 days, 16:19:08.836232","4 days, 8:25:33.584582","39 days, 8:46:30.723561","92 days, 19:33:04.026665","1 day, 15:39:36.725172","27 days, 19:14:27.034991","5 days, 1:13:49.048409","43 days, 9:49:56.906770","68 days, 12:36:14.965958","6 days, 22:55:09.756888","22 days, 20:00:42.774640","11 days, 13:10:25.728187","7 days, 19:37:42.339553","36 days, 18:57:26.829659","143 days, 14:23:35.355517","65 days, 11:10:45.174020","12 days, 8:48:23.424174","16 days, 21:30:12.259103","96 days, 4:42:32.833924",20:40:49.437698,"35 days, 14:02:57.062573","171 days, 21:43:50.139581","3 days, 10:35:38.611241","6 days, 12:28:54.190273","43 days, 14:40:39.094012","93 days, 2:49:16.613904","65 days, 7:29:06.739760","46 days, 0:24:07.794564","188 days, 14:06:19.301098","26 days, 7:02:12.255529",23:17:27.234617,"1 day, 3:54:32.806108","1 day, 3:16:39.834723","5 days, 0:40:20.673653","3 days, 22:39:06.221982","37 days, 23:48:35.407702","8 days, 6:01:44.341482","32 days, 14:42:23.506240","5 days, 0:35:39.679300","107 days, 5:45:31.100260","37 days, 3:40:12.886634","4 days, 18:12:18.393042","256 days, 16:01:05.233605","43 days, 16:46:17.201397","38 days, 22:18:37.595139","7 days, 14:21:34.459933","4 days, 12:44:45.510407","286 days, 20:03:30.406834","122 days, 2:10:01.808494","128 days, 22:44:04.847229","31 days, 9:14:07.321780",0:21:50.875164,"56 days, 15:19:29.789543",20:23:24.658917,"20 days, 1:52:16.595527","95 days, 4:32:06.673288","4 days, 18:59:02.325329","4 days, 0:37:53.802310","7 days, 9:55:23.922710","5 days, 8:59:21.445398"
People 60 and older,"21 days, 6:41:58.270325","98 days, 13:30:00.683372","66 days, 14:26:52.065788","90 days, 8:09:26.198243","1 day, 19:23:48.432977","6 days, 0:04:50.645220","129 days, 11:31:02.310444","29 days, 10:16:04.723416","3 days, 17:08:38.083638","25 days, 5:33:43.734892","68 days, 23:07:48.908418","72 days, 0:24:09.096407","52 days, 22:26:17.187689","10 days, 17:13:29.071271","20 days, 13:29:16.889882","80 days, 12:35:09.344630","29 days, 11:23:18.000962","1 day, 14:37:10.657811","1 day, 15:58:28.170878","3 days, 5:38:53.448105",0:00:00.306723,0:00:00.447209,"6 days, 23:52:13.032823","26 days, 10:33:04.654328",20:04:27.966081,"3 days, 11:41:41.400252",15:49:00.665415,"124 days, 12:40:37.862904","164 days, 12:35:41.451392","26 days, 21:43:11.175406","66 days, 3:44:43.817568","23 days, 1:11:45.407675","32 days, 19:24:51.112481","81 days, 20:39:58.320348","4 days, 14:26:52.389339","38 days, 8:19:39.935973","91 days, 7:20:31.879470","1 day, 16:40:58.547165","27 days, 1:17:53.004570","6 days, 2:18:28.122751","43 days, 18:52:11.763184","64 days, 10:55:50.362939","7 days, 6:54:27.333005","22 days, 18:14:56.834488","24 days, 7:32:30.930817","7 days, 17:18:19.419136","37 days, 2:59:32.272638","143 days, 15:06:09.303682","70 days, 14:36:10.430214","12 days, 21:35:33.437608","15 days, 9:42:25.461308","91 days, 18:16:20.394109",19:56:45.567466,"35 days, 7:46:07.944460","177 days, 18:24:31.114494","3 days, 11:46:40.210266","7 days, 1:32:13.139890","43 days, 8:42:10.656073","93 days, 14:27:29.677224","63 days, 17:22:14.902249","46 days, 6:07:10.618663","188 days, 19:11:25.839443","25 days, 7:39:48.346318",21:31:18.517326,"1 day, 0:05:34.419066",20:54:02.996648,"3 days, 1:58:29.555194","4 days, 3:17:03.313777","40 days, 14:53:01.784824","8 days, 11:26:10.421160","31 days, 20:39:42.899304","5 days, 14:38:08.077454","109 days, 10:06:09.730673","37 days, 4:34:57.988890","4 days, 23:50:44.498344","256 days, 23:34:15.045327","44 days, 23:41:24.154203","36 days, 18:31:14.996486","6 days, 23:47:06.812614","4 days, 16:06:45.270646","304 days, 7:56:36.585218","121 days, 13:15:28.825729","127 days, 19:29:12.526857","32 days, 11:14:47.261558",0:20:56.946136,"52 days, 4:43:06.242997",19:09:55.395102,"19 days, 0:21:23.833140","96 days, 23:27:09.240907","4 days, 1:36:30.026182","3 days, 20:06:12.283502","8 days, 4:40:33.644570","6 days, 5:25:52.204720"
All Hispanic or Latino People,"21 days, 5:08:11.319727","95 days, 12:56:12.590070","70 days, 13:08:25.004691","84 days, 16:47:53.906673","1 day, 13:07:33.931505","6 days, 15:30:27.579152","116 days, 7:58:07.838528","30 days, 11:59:48.626874","3 days, 9:38:54.041455","29 days, 18:48:44.668839","65 days, 18:35:06.555828","67 days, 6:15:54.558829","51 days, 17:54:06.237257","7 days, 3:18:56.318759","20 days, 11:10:10.524663","80 days, 10:35:38.594261","25 days, 19:18:05.893399","1 day, 15:31:22.149333","1 day, 16:45:55.626211","3 days, 10:06:59.303320",0:00:00.338397,0:00:00.474480,"4 days, 17:26:54.202453","26 days, 2:48:23.008407",19:56:55.410997,"3 days, 15:45:39.993263",17:34:50.824312,"118 days, 18:58:39.422194","113 days, 12:41:54.432915","25 days, 16:27:11.249930","104 days, 11:29:04","22 days, 18:29:20.680727","30 days, 4:23:34.339003","87 days, 20:51:57.883563","3 days, 20:35:05.683260","40 days, 2:23:12.331776","99 days, 11:34:05.709158","1 day, 12:56:24.537475","28 days, 14:17:30.702764","3 days, 2:59:56.566987","37 days, 5:27:53.868075","65 days, 7:32:20.629322","6 days, 12:16:53.308052","21 days, 17:07:50.206990","21 days, 10:20:42.965982","6 days, 23:46:37.177445","42 days, 10:13:35.295900","127 days, 15:40:42.260674","49 days, 2:19:55.066046","13 days, 18:39:18.258350","15 days, 9:35:25.309907","113 days, 3:37:17.847219",20:21:37.216300,"35 days, 11:54:58.056244","167 days, 6:47:13.460003","3 days, 12:47:36.622452","5 days, 20:31:28.128180","44 days, 17:43:07.096973","91 days, 23:50:56.591606","46 days, 22:54:02.816881","51 days, 10:30:14.097070","184 days, 2:51:18.719858","26 days, 15:50:26.499284",19:32:20.147583,"1 day, 8:25:27.162721",15:52:00.344529,"3 days, 6:32:22.254632","4 days, 7:59:43.530598","31 days, 17:34:16.871361","6 days, 15:29:35.301543","33 days, 7:43:45.266416","3 days, 18:17:36.195199","110 days, 6:36:00.183857","34 days, 0:40:10.169657","4 days, 19:21:51.251631","255 days, 23:08:43.583706","50 days, 16:27:43.080065","35 days, 15:22:07.165077","8 days, 4:46:56.998311","4 days, 8:56:36.583273","294 days, 19:50:49.115498","125 days, 1:50:33.059746","123 days, 5:18:41.035470","30 days, 23:51:09.512619",0:21:49.127503,"57 days, 0:29:13.234643",20:33:10.434690,"18 days, 21:05:45.027094","97 days, 16:23:44.244343","4 days, 22:12:30.830115","3 days, 21:02:26.547947","5 days, 9:50:42.311234","4 days, 5:45:58.427543"
All non-Hispanic or Latino People,"21 days, 10:24:03.573115","104 days, 0:58:39.341102","63 days, 6:22:02.369058","89 days, 8:51:15.064161","2 days, 3:02:26.274407","5 days, 16:54:10.166434","127 days, 9:12:51.547857","29 days, 23:50:10.957853","3 days, 14:54:01.783852","25 days, 0:45:16.105310","69 days, 6:11:29.297570","72 days, 10:15:23.395157","52 days, 17:09:57.935905","10 days, 23:29:19.686163","20 days, 6:53:26.280130","77 days, 22:41:04.916177","30 days, 14:50:51.155283","1 day, 16:08:27.291518","1 day, 15:54:23.205573","3 days, 4:18:38.335575",0:00:00.308521,0:00:00.462889,"7 days, 7:33:48.203563","27 days, 7:35:29.518607",19:51:43.231841,"3 days, 12:23:12.742385",16:51:22.730803,"132 days, 1:05:00.803613","160 days, 18:04:17.292301","27 days, 17:48:20.470264","66 days, 6:41:29.995058","23 days, 7:44:29.832136","32 days, 0:42:26.424881","88 days, 8:55:10.481889","4 days, 18:19:49.714263","38 days, 4:28:59.516604","89 days, 16:49:23.920794","1 day, 16:17:15.452589","27 days, 5:31:57.773999","5 days, 23:13:21.963590","48 days, 2:50:41.953764","71 days, 6:03:49.713849","7 days, 3:26:52.349703","23 days, 1:53:52.814518","13 days, 12:30:51.462641","7 days, 20:01:23.302869","34 days, 20:14:08.248036","145 days, 22:12:49.124900","71 days, 5:10:28.969880","10 days, 12:48:12.864694","17 days, 0:37:08.685354","91 days, 6:32:08.008490",20:18:17.213741,"35 days, 20:09:08.407648","173 days, 23:12:18.469451","3 days, 10:05:50.933907","7 days, 3:27:09.952020","43 days, 20:56:27.353389","95 days, 5:17:05.786934","66 days, 22:10:36.352219","44 days, 2:46:06.273155","190 days, 2:19:54.715908","25 days, 18:00:22.572146",22:21:17.451057,20:43:53.777100,"1 day, 4:51:35.101716","8 days, 15:53:13.150976","3 days, 19:20:50.583294","38 days, 18:07:21.745486","9 days, 1:07:18.181433","31 days, 23:36:50.249313","5 days, 17:46:17.654291","107 days, 17:11:46.688738","38 days, 13:14:18.121167","4 days, 19:42:33.507069","255 days, 5:50:11.522164","41 days, 18:17:18.830335","38 days, 14:37:47.861861","7 days, 11:25:13.216762","4 days, 14:50:37.899847","289 days, 19:36:33.809742","121 days, 11:15:03.261270","131 days, 1:06:51.319797","31 days, 21:46:10.810151",0:23:06.037514,"55 days, 2:16:38.713023",19:40:03.682127,"20 days, 15:37:35.078809","95 days, 22:49:39.735076","4 days, 14:05:46.005626","3 days, 23:08:35.168681","8 days, 8:14:04.494872","6 days, 5:27:59.251083"
White People - regardless of Hispanic identification,"21 days, 1:16:05.507581","105 days, 19:09:00.375020","65 days, 1:00:14.061333","78 days, 23:12:33.730547","2 days, 8:22:18.834448","6 days, 2:37:13.140724","124 days, 20:07:21.790769","32 days, 13:04:44.038526","4 days, 2:08:28.526460","25 days, 23:24:02.562870","68 days, 5:50:59.702555","75 days, 13:30:23.612891","51 days, 15:38:37.876017","5 days, 17:06:01.510938","21 days, 20:05:58.080682","79 days, 15:22:53.619191","28 days, 20:28:13.084105","1 day, 16:02:51.962252","1 day, 17:10:54.974521","3 days, 7:08:43.600318",0:00:00.321093,0:00:00.461712,"4 days, 1:35:01.656501","27 days, 22:25:57.365390",20:36:03.642492,"3 days, 14:41:34.193892",17:13:09.950997,"130 days, 15:39:17.832971","172 days, 19:35:52.358995","28 days, 11:12:49.815068","104 days, 11:29:04","23 days, 13:48:06.836780","26 days, 6:41:55.203810","85 days, 5:22:54.612762","3 days, 5:06:06.210882","44 days, 12:38:49.528469","76 days, 19:14:11.073715","1 day, 13:06:05.992807","27 days, 11:14:54.395890","4 days, 8:01:26.099567","50 days, 11:33:38.703528","68 days, 2:45:12.555810","6 days, 12:41:47.577432","23 days, 13:58:35.018619","5 days, 15:01:14.700047","8 days, 19:42:44.602449","37 days, 5:16:35.642628","147 days, 22:42:24.061505","63 days, 10:14:30.007562","13 days, 2:55:34.337089","17 days, 14:07:29.035704","88 days, 23:14:18.873391",21:29:47.046073,"35 days, 18:25:59.746857","169 days, 10:37:21.166396","3 days, 7:59:18.534527","4 days, 13:23:12.943638","40 days, 14:11:16.604892","86 days, 6:20:33.618130","63 days, 22:46:57.803754","44 days, 16:35:25.366442","191 days, 10:52:01.369443","30 days, 6:02:15.916977","1 day, 1:29:14.862916","1 day, 5:23:45.728524","1 day, 6:58:17.735269","9 days, 0:08:29.985452","3 days, 8:49:04.827701","38 days, 7:29:58.957953","8 days, 13:19:44.881673","34 days, 9:40:20.797722","3 days, 8:21:46.361723","96 days, 18:34:46.152175","37 days, 8:48:25.608187","4 days, 17:20:55.714993","260 days, 6:08:56.585379","42 days, 17:05:56.284325","39 days, 16:18:43.501763","6 days, 21:36:01.231866","4 days, 13:03:45.823709","264 days, 4:58:52.938347","120 days, 19:45:54.156210","131 days, 20:58:51.860509","29 days, 3:40:55.106473",0:23:00.964415,"59 days, 0:12:49.993867",19:56:21.261381,"20 days, 8:41:55.448192","90 days, 19:54:18.582271","4 days, 17:30:29.231920","4 days, 7:51:58.454296","4 days, 8:33:34.407484","3 days, 8:02:52.419468"
White non-Hispanic people,"21 days, 0:31:23.603012","109 days, 3:24:30.489862","63 days, 16:50:22.885363","78 days, 4:50:45.647912","2 days, 14:18:31.618382","5 days, 23:32:04.773908","128 days, 12:20:28.950288","33 days, 5:24:31.581947","4 days, 7:32:44.665278","24 days, 18:44:20.221927","68 days, 20:51:51.589342","77 days, 20:16:42.472346","51 days, 17:23:45.936591","5 days, 9:02:43.893003","22 days, 0:27:22.628236","79 days, 6:22:10.286714","29 days, 18:12:11.618745","1 day, 16:35:43.490733","1 day, 16:54:03.748593","3 days, 5:50:05.657271",0:00:00.312816,0:00:00.456268,"3 days, 21:39:41.122024","28 days, 10:43:36.663913",20:45:27.431237,"3 days, 14:43:54.875684",17:11:19.519086,"134 days, 2:10:37.220369","192 days, 7:50:47.089278","29 days, 6:21:00.619283","104 days, 11:29:04","23 days, 23:02:23.667783","25 days, 2:35:47.223576","83 days, 23:57:58.694008","3 days, 1:23:25.239511","45 days, 17:30:22.039323","73 days, 9:19:51.328602","1 day, 13:03:53.926147","27 days, 5:56:02.984459","4 days, 16:59:42.588142","54 days, 22:43:07.291532","67 days, 22:12:24.711258","6 days, 16:29:39.418486","24 days, 4:31:48.609948","2 days, 16:47:04.374556","9 days, 7:26:36.873447","35 days, 20:54:40.570637","151 days, 1:18:29.077659","67 days, 11:59:10.518999","12 days, 19:29:28.667251","18 days, 6:27:46.567799","81 days, 13:43:30.455939",21:42:12.728625,"35 days, 20:46:48.764411","171 days, 22:38:59.800587","3 days, 6:21:28.686529","4 days, 5:09:28.027475","39 days, 5:59:08.082693","85 days, 3:55:39.886723","68 days, 6:27:12.368909","43 days, 16:23:37.099921","193 days, 8:39:47.490983","31 days, 9:42:44.620310","1 day, 3:46:12.390648","1 day, 4:31:16.632987","1 day, 11:46:24.480965","10 days, 17:16:05.097543","3 days, 2:08:35.697915","39 days, 8:13:47.512262","9 days, 2:11:52.437430","34 days, 17:53:47.497328","3 days, 6:57:00.175962","93 days, 16:00:14.317232","38 days, 10:17:51.226777","4 days, 16:37:35.303938","261 days, 4:39:02.979582","40 days, 3:21:41.315688","41 days, 10:15:17.238847","6 days, 14:53:07.081689","4 days, 14:25:09.448577","254 days, 2:42:43.392379","120 days, 2:09:05.045775","134 days, 13:13:40.153611","28 days, 13:38:48.479140",0:23:04.319665,"59 days, 10:51:27.839376",19:39:56.609787,"20 days, 17:13:37.704372","88 days, 7:12:58.838469","4 days, 12:32:12.279014","4 days, 11:00:57.469144","4 days, 3:14:14.234227","3 days, 3:46:19.733657"
Black People - regardless of Hispanic identification,"22 days, 1:09:47.951492","96 days, 20:06:33.473553","63 days, 17:33:42.157560","111 days, 5:44:25.516100","1 day, 18:32:49.520967","5 days, 6:29:14.167525","111 days, 17:07:23.665829","26 days, 2:47:36.373041","3 days, 6:42:02.720166","25 days, 20:41:38.323385","70 days, 6:20:24.205946","65 days, 2:31:29.827394","58 days, 8:08:22.049845","15 days, 1:07:41.129817","19 days, 18:32:40.116703","75 days, 22:08:39.786930","31 days, 17:14:47.548938","1 day, 15:30:07.610008","1 day, 14:52:33.345117","3 days, 2:46:58.907790",0:00:00.251527,0:00:00.441002,"11 days, 9:31:15.323219","25 days, 20:15:14.794279",18:40:57.653456,"3 days, 10:49:05.823892",16:27:21.000409,"128 days, 19:15:17.436629","101 days, 6:26:29.164632","27 days, 5:54:33.762012","10 days, 18:20:04.643777","21 days, 16:11:37.513423","41 days, 4:49:52.641670","95 days, 22:13:14.158440","6 days, 20:17:34.838608","28 days, 18:30:48.612953","110 days, 0:03:35.721216","1 day, 20:58:26.669204","26 days, 21:01:02.968261","7 days, 13:58:04.371525","39 days, 2:29:56.820338","75 days, 18:49:40.054779","7 days, 14:51:38.200918","21 days, 11:09:28.263122","50 days, 2:32:16.067722","6 days, 20:20:50.759085","34 days, 7:41:49.771643","126 days, 18:07:19.815639","83 days, 12:08:52.750653","7 days, 8:01:19.490929","13 days, 7:20:03.232627","95 days, 13:21:39.715391",18:47:19.454436,"35 days, 15:51:36.784780","173 days, 6:47:39.938853","3 days, 15:06:12.598309","10 days, 23:51:11.930904","49 days, 11:44:26.069630","110 days, 14:34:40.364307","58 days, 2:04:58.718431","50 days, 21:30:36.227138","184 days, 19:10:43.847097","18 days, 12:21:18.251899",13:47:53.028228,9:07:31.892649,17:59:49.437639,"3 days, 3:04:00.947795","5 days, 1:56:07.315983","38 days, 10:05:42.880153","8 days, 4:58:40.437174","28 days, 7:51:23.273843","8 days, 17:49:18.639744","134 days, 16:33:57.436669","38 days, 11:09:45.435564","5 days, 3:28:06.688337","248 days, 8:34:33.911509","41 days, 5:09:45.464550","37 days, 19:02:00.625285","8 days, 13:45:47.479046","4 days, 16:20:54.513777","357 days, 8:59:50.924830","122 days, 15:21:36.168691","128 days, 11:56:19.980892","35 days, 0:36:32.480281",0:20:17.936113,"48 days, 1:02:02.598519",20:05:59.213734,"20 days, 3:34:00.134422","105 days, 1:38:56.022231","4 days, 14:34:39.396500","3 days, 8:19:13.330547","14 days, 3:45:46.906169","10 days, 16:51:17.282762"
Black non-Hispanic people,"22 days, 1:16:33.785615","96 days, 17:13:07.197476","63 days, 16:00:12.785514","111 days, 9:01:25.198368","1 day, 18:21:27.666017","5 days, 6:41:12.971687","111 days, 18:41:11.812959","26 days, 1:24:22.376106","3 days, 6:08:40.363129","25 days, 19:30:29.889984","70 days, 9:19:18.912238","64 days, 22:46:32.028402","58 days, 9:26:27.409025","15 days, 2:36:58.010334","19 days, 16:23:48.079857","75 days, 21:32:51.121411","31 days, 19:39:08.092358","1 day, 15:31:06.694896","1 day, 14:53:20.592816","3 days, 2:42:21.924633",0:00:00.252556,0:00:00.438263,"11 days, 11:03:46.254182","25 days, 20:14:11.101814",18:41:16.927423,"3 days, 10:31:00.125580",16:24:13.280894,"128 days, 3:12:42.777870","99 days, 5:53:30.390476","27 days, 4:13:24.599632","10 days, 18:20:04.643777","21 days, 16:20:06.610965","41 days, 9:49:52.901314","95 days, 18:07:35.206028","6 days, 21:06:38.713082","28 days, 14:33:46.843182","110 days, 22:38:47.546549","1 day, 21:10:34.526034","26 days, 20:14:46.327525","7 days, 15:26:31.869448","38 days, 19:37:59.821938","76 days, 0:41:19.321491","7 days, 15:12:24.160604","21 days, 10:58:36.947111","49 days, 17:47:41.165620","6 days, 20:30:27.084397","34 days, 4:53:09.756370","126 days, 3:18:58.915388","84 days, 2:48:41.020996","7 days, 6:42:45.031818","13 days, 7:32:40.523002","95 days, 17:47:05.370798",18:46:41.284811,"35 days, 17:04:16.904649","173 days, 4:45:09.369879","3 days, 15:08:06.357782","11 days, 1:05:08.415055","49 days, 12:01:34.017310","110 days, 20:41:14.926447","58 days, 0:56:12.002928","50 days, 22:07:47.576312","184 days, 21:10:41.191855","18 days, 9:27:13.415282",13:47:34.175690,9:06:26.633688,18:03:36.688259,"3 days, 3:18:35.945148","5 days, 2:16:19.122555","38 days, 17:47:51.882724","8 days, 5:07:11.927134","28 days, 6:15:29.614495","8 days, 19:01:01.646006","134 days, 21:30:54.027904","38 days, 11:13:06.844296","5 days, 3:35:55.840754","247 days, 8:42:33.619996","40 days, 22:43:18.743999","37 days, 23:11:14.202737","8 days, 13:55:06.012013","4 days, 16:24:34.867089","358 days, 1:31:37.114056","122 days, 16:19:15.427164","128 days, 9:02:28.712877","35 days, 2:02:53.203328",0:20:13.343850,"48 days, 1:58:34.826305",20:07:37.427332,"20 days, 3:54:16.985662","105 days, 1:15:47.677967","4 days, 14:51:19.364358","3 days, 8:20:51.042129","14 days, 5:41:54.762692","10 days, 18:27:36.382257"
