,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,8389.202311108036,7227.918111485808,8704.28608855597,10566.238952946696,9141.27540077886,9952.785544991242,5640.355523234194,8451.65324526923,7272.245122981186,12793.118381905402,7314.3904921042695,9061.55660184149,9179.572332190084,9615.63436324115,7357.227200285649,7812.550962653352,9627.142823888942,11063.99819117252,8987.96218644969,9756.830688722703,9764.8531383841,8173.938392193144,9476.903526471642,8771.569293134344,9425.926028367216,6868.101465966648,8290.092269804827,6278.974217648172,4902.097730534223,7626.830176990087,6762.892520034902,8762.154142029203,8251.813655490048,7461.959263036204,9052.646499342702,7753.838897320042,7874.619877295898,7688.618367172284,9243.884492210464,8040.2200429640625,7174.172254630719,12403.615514270077,2366.275054531945,8554.744934034978,5878.093193826601,7594.887396758144,8711.46572439564,13826.795743035764,9131.105126941138,7810.952394325591,8188.121064235632,6554.106919441907,9124.52696873806,8368.344620045867,10386.817059311068,8841.065726574356,8174.200046032467,7657.435994501768,8215.411486159854,10170.023657421958,9622.498465069426,6074.8487708709,8833.45673626711,9764.798494931296,9419.863664775938,9277.328822396463,10257.823639095976,7623.336174113614,13686.479437858345,9089.425929318038,8048.226509498906,9575.494375081178,5459.022616126659,8493.548679545947,8698.286354216792,6924.0719530541255,8223.457254383657,7534.104466961381,8639.341380854265,8680.652651147942,5619.933936851018,6776.678932072375,6549.87867638889,8231.380503008999,9060.938648016405,6856.627629795052,8842.12046681589,9413.337641286136,8367.748589457673,10012.83837052422,7650.9110338627515,9807.27059769662,9546.521567116883
People between 30 and 59,8353.033917503648,7305.729663392439,8646.976505778075,10563.288034463902,9195.521908729434,9919.488791368576,5653.006415111311,8439.392565480799,7222.491990917411,12944.44609625192,7435.02528908324,9091.162987242491,9207.45189507763,9636.695292768714,7334.280921928917,7710.511941580784,9635.925217704886,11072.913891755803,8917.427665462694,9690.671288293963,9782.18736168256,8364.567433271372,9579.699076868581,8737.320940829322,9381.94027220708,6862.946405427929,8384.899411454806,6414.739821433783,5249.1012689433455,7716.760976717375,6961.090600600459,8663.840494233544,8237.01379292517,7563.827207343979,9130.731526104495,7723.416440289363,7817.522699433923,7694.266117503714,9223.185342276993,8024.23203463597,7582.338688558242,12356.192051733471,2363.205647572092,8524.043550365985,6344.091723617986,7732.788729078399,8666.129631185899,13708.232812074752,9107.29813322636,8376.146235269232,8293.779106204072,6627.674727831686,9144.139500180487,8316.603786112157,10295.164453766693,8860.057419443465,8193.680237904044,7680.964658470842,8217.25167354005,9549.030171312714,9613.1621603751,6065.230191626579,8823.912352983994,9831.058005340657,9482.403782004096,9277.804085470534,11524.185688274407,7725.203934816825,13627.2094851266,9076.95330424506,7997.77773467404,9610.015983899775,5365.384046544378,8466.08607954816,8690.478887943003,6982.911241318444,8317.166585782983,7952.181570871552,8583.379073252998,8713.12344832351,5692.773255029188,6781.518834198075,6520.39663531604,8301.723620675706,9093.324876718769,6880.4494812726225,8887.973631716157,9439.772994016725,8315.099285649661,10029.148256241871,7755.488726560248,9811.132084387133,9596.939135075978
People 60 and older,8339.19677533986,7263.09523822315,8680.817275477044,10567.984673615025,9033.426308847605,9798.784100148556,5483.0677072461085,8500.950724791825,6835.399069317127,13083.699636323536,7433.245186020415,9082.583000771989,9124.807783044185,9556.652220711758,7139.857386996498,7704.303082658604,9545.89654480618,11133.285908232496,8930.446750360943,9571.672917787673,9817.754595948847,8902.851043594537,9509.870732884747,8736.793593740382,9372.88620098589,6839.2254761483555,8199.409877487615,6474.137333599684,4166.359171381996,7336.395705483199,7544.105650922509,8784.733883509269,8287.11308506809,7262.124447207858,9109.46709049812,7819.422686655492,8008.673186702614,7758.721590951288,9192.743897282298,8010.963671043602,7349.126579852498,12378.509582323883,2279.322518928601,8461.849796215556,5920.796873657626,7840.452647072972,8668.509696198995,13699.44413914201,9291.031308727243,8049.100523936353,8342.641507572724,6251.432067724866,9227.558578042506,8332.926818147398,10094.610597584255,8904.357615890995,8220.934194833002,7713.553188566056,8224.61327679782,9922.758808304168,9275.771920640575,6009.981827351022,8855.793173082582,9917.954409115779,9420.795888470768,9314.066100521977,10056.545143401367,7736.874264178086,13591.395569005419,9074.03546377103,8013.987337456396,9440.22923771339,5338.691124736265,8477.8206229252,8753.382509544654,7140.91047974141,8387.665546434631,7690.276860142278,8581.514137025315,8703.810609546728,5444.809162069993,6831.2807562922035,6563.1179785235945,8202.10461061984,8999.162750167507,6943.261881498028,8946.115962304892,9454.252568198535,8064.683604893196,10116.122296427602,7541.539525247984,9537.861903120925,9514.62403798457
All Hispanic or Latino People,8508.045177719814,7218.265411056335,8772.745142028361,10788.982138955997,9583.971511630307,10101.141000164554,5413.922643427228,8330.489776466866,7228.210243609124,12221.427165872557,7400.641466716009,9254.500397468883,9153.259747493892,9961.449152095323,7577.180456412929,7872.340872108304,10457.567368687993,10486.917513085527,8967.848292710298,9372.38489754897,9811.089617559734,7809.174992780827,9491.89276167811,8805.21514386626,9518.562597332479,7024.422184368002,8328.495283978733,6679.499708444051,4133.104247104247,8057.937188927491,4774.0,9130.371117960052,8175.80919610449,6684.697839404991,9009.729286443255,7810.892458962679,8424.974007085659,7467.815701241806,9229.144324488028,7798.233537913738,7318.379897182533,12658.974941163067,2395.843918717547,8668.212292860107,5628.090500641849,7081.395678789334,8824.623275315653,14105.96910548087,9488.120423816863,7697.878923874945,8367.087159897714,6497.706130121838,9119.918115071967,8406.629455548691,10573.848355179593,8760.180549421342,8166.24738113854,7582.962805710721,8058.678356486035,11379.399155771407,10124.138778952676,6026.651771357821,8740.11185569462,10005.617420084453,9513.680923235086,9336.089670550346,9139.937238493723,7268.334466690009,13797.801691038314,9193.305274578724,8113.6449343551785,9710.630031490122,4992.19395064216,8709.986607052571,8614.235186340467,7222.38089473486,7726.418645010858,7836.847371152172,8538.987632460772,8819.544265103725,5472.324991869211,7071.609631483912,6523.4088176377145,7917.98437906066,9603.710752400011,7159.136066168912,8800.602603378033,9552.981855505437,8439.032725558285,10174.000021630425,7740.237995625051,10078.312217384208,9736.868036995831
All non-Hispanic or Latino People,8301.870520212538,7288.552001117567,8634.863240767176,10459.125142478239,8971.341285862274,9844.056854920855,5769.955707796745,8502.076617513336,7129.552186075143,13234.580789840014,7377.7879948613045,9012.936638387839,9207.3647430407,9506.966880488511,7246.763935849446,7706.943331741444,9278.99091774767,11255.703730029281,8937.864843229157,9824.409213287503,9763.943204153355,8456.32163864815,9536.911074626942,8727.244095923106,9345.746556206022,6815.629183422578,8324.548390691707,6256.443959926652,5391.422516701347,7448.490971068889,7535.232289950576,8536.95940566719,8280.348191444786,7763.318583328541,9127.745955407052,7719.046764599928,7710.6815834955405,7803.499297566268,9228.760808454885,8134.136695344268,7425.629493898018,12266.003929578108,2333.119697340986,8459.198344554923,6354.989844033371,7929.570749102725,8620.075384908048,13625.531915873504,8947.744324528749,8437.585010782237,8222.888168058467,6501.010585717561,9161.250969960607,8310.518857787552,10215.714752274249,8897.896048004988,8199.063326377463,7712.813047142427,8282.765101019042,9278.134021869895,9381.311465740966,6080.881242660122,8861.957720338289,9719.785785979993,9423.567443875872,9258.08248099535,12100.008891213389,8092.700288477604,13588.775809385874,9026.267065808372,7984.257730946123,9515.339714316513,5557.959356007077,8379.725352317362,8732.336478205409,6884.392171604652,8512.587591841002,7669.118983738751,8632.531344965599,8645.774468261157,5715.997034364591,6660.204076376794,6546.830832430569,8405.879191652013,8863.318665549734,6780.133174864257,8915.561904250093,9383.229830018268,8249.644539526618,9973.118274583074,7652.335657711365,9693.75447364227,9497.23158830672
White People - regardless of Hispanic identification,8305.728009642457,7381.044527119164,8614.914963858479,10393.090315162788,8956.829284202237,10398.043171251771,5672.705923812331,8397.600401028683,7462.63280372642,13123.60549518604,7411.322347539674,8943.263408033972,9211.949436175228,9914.813934857299,7458.197673529206,7584.69613734736,9508.556630656878,11043.834176294497,8878.366822592807,9653.235029744916,9736.132584430194,8142.761785333927,9702.374693336189,8676.653008469897,9363.802058319043,7128.965987063175,8617.530281697584,6415.10285057567,4907.166390826264,7718.235998430011,4774.0,8658.019826281692,8152.5040206876165,7711.2471442264305,9126.51328052464,7608.005356670321,7703.936804390456,7744.70373223162,9298.91838841778,8047.104782851285,8101.878978890979,12105.557091555698,2317.357593742886,8561.734868932119,6386.402167123082,7417.694402792303,8523.553070071108,13565.731771924216,9145.967827644547,9105.09849654176,8239.847626236251,5539.5461204526355,9263.968225690876,8238.704929461606,10296.875739391244,8864.150681192414,8205.844777109904,7689.54432037443,8130.01317948426,9461.271839864012,9372.399212107446,6108.23616114982,8716.409522705637,9927.687276574901,9486.686472650355,9205.576022479438,10791.454273525846,8037.984258354756,13617.619978979443,9116.172269655604,8049.137828716795,9719.6735831766,5507.094070152618,8393.483048290651,8604.247812787964,6895.740206993657,8367.777133960986,7654.639580528235,8483.128154163387,8782.499788220237,6038.164312823468,6871.704529133211,6532.431028881521,8505.269901925303,9061.685727811264,7203.820402554376,8998.360455021222,9466.3048636965,8158.868850319926,10193.825992782173,8145.737035524618,10309.300218672659,9814.897303944184
White non-Hispanic people,8247.822828006098,7418.651795915005,8564.219289752295,10260.285899115004,8749.821178246872,10420.951206889875,5700.983820995392,8411.453915210235,7569.945231866399,13392.335993803557,7404.740682326513,8850.019080957367,9237.698818410372,9887.41296567155,7381.847508195203,7505.851303272937,9243.452176249635,11248.896486274918,8863.484877339448,9714.838307316599,9745.10083574744,8246.564010234057,9743.41513160547,8639.925548631012,9306.981381706679,7143.518193136874,8709.134852762763,6295.241555182351,4881.502886597938,7581.509907335899,4774.0,8536.728259827474,8168.72901975844,8079.905138413284,9167.41496792973,7532.617112565239,7413.941101158509,7831.1587120023205,9312.042621229195,8116.383805528055,8326.92278067686,11949.109243388466,2287.676634223733,8538.277989877164,6583.533727810651,7581.336020553239,8432.084586531026,13471.703552213448,9143.377466597576,9491.155655745917,8230.262341422276,5247.21220197284,9310.21590169649,8229.595160560319,10213.161949891986,8893.881415471897,8216.083791688603,7716.586278354809,8142.161241191902,8888.400938054392,9184.612245145452,6142.055978942379,8697.536321994136,9882.811449771198,9498.116533854985,9167.997143456012,11358.77937241547,8252.112344923726,13563.50089107594,9106.286258175622,8017.223461552365,9714.532522586873,5680.789642693154,8300.936994101348,8583.572558056489,6761.587960928862,8594.350153070365,7608.346021331301,8468.296485859162,8763.300174171382,6212.968066383284,6802.020573956222,6530.629925016881,8699.887208316506,8890.551329245936,7194.4381562677845,9046.725904036102,9446.284853854335,8107.204499750214,10191.053612698543,8247.483792035668,10337.651177746202,9818.329856792776
Black People - regardless of Hispanic identification,8391.946011178134,7105.818608109105,8726.96458487443,10664.152670905733,9052.510570944152,8957.158680787228,6119.804207689848,8598.782473614543,6773.588701360609,13092.334790188086,7268.30535457049,9251.49528357698,8955.7966713299,9204.363937683758,7230.6288217518395,7931.919146638963,9281.795444037092,11187.61659715853,9002.89694280003,10243.001811890104,9790.263699418485,8819.106664141065,9328.83094453421,8837.66405145135,9378.271245423568,6572.4987784505975,7778.347542849805,6290.062713436208,5858.700134429035,7386.106637307931,11548.077253218884,8608.335551302416,8441.781110466565,7399.262245412065,9070.285783074221,7966.92785305397,7795.901599038788,7767.982736887314,9164.577318186353,8220.320538242351,6435.180117889437,12807.905635354347,2393.2311225791377,8409.217626634507,5292.772542754772,8152.527899467171,8847.45451465794,14209.92774225545,8021.171216300311,7700.414019962689,8014.061069470506,7120.91914608952,8977.352621344935,8479.007054511561,10354.69204238616,8907.76653121183,8136.755574638085,7679.978684433554,8419.07110724462,10355.729882490834,10275.523099288373,5936.034724045959,9081.840565292947,9373.706150996946,9310.616959579134,9321.431525197166,13911.710746386863,7835.495373916982,13759.703637705401,8863.520315901222,7983.472466625755,9271.153915066112,5075.4182623202805,8467.367958103072,8913.284982891168,7191.739263550528,8526.858192989737,7764.480470063419,8880.326076436422,8559.861636125393,4834.556747135262,6490.345378308161,6613.020802317297,8178.0946723547195,9030.250756797112,6255.437117755229,8784.050169220382,9317.295182795302,8358.273715677866,9754.537302090843,7159.588408490144,8932.789183834131,9067.000939044554
Black non-Hispanic people,8391.723504245616,7104.509901387614,8725.503756289445,10668.356557199088,9060.535104932995,8945.865248385633,6126.316221245311,8602.495538717183,6785.722176345024,13094.353475833968,7261.4161582822,9263.170267107529,8950.926337786166,9199.508361586853,7212.827445657208,7931.757786069562,9282.029599050067,11191.64975144408,9006.524569203884,10258.201370787157,9793.675149468267,8824.90314668581,9328.367826345468,8834.221837411977,9377.047187107344,6572.893738771363,7773.445381844761,6292.207642915812,5904.483415435139,7385.83985556648,11548.077253218884,8621.606560251528,8447.80794468032,7399.683171695806,9074.579794149533,7971.064526419168,7728.9202406027225,7774.057235430673,9166.03485585897,8229.676745564619,6433.437495818645,12801.784832906676,2394.9797082981113,8410.662715171247,5305.218210361068,8159.914414496271,8850.071843416117,14224.944018070977,8009.308147996148,7702.753493236499,7995.958706221991,7131.119924307752,8977.849508023348,8475.625333570279,10362.63805114759,8909.456031980977,8138.924518471481,7676.84368142926,8423.034889265477,10378.00276735443,10285.074461220102,5935.298247834975,9087.882628424453,9369.717934589682,9307.537993294578,9322.66087685871,13968.93670886076,7840.068975354742,13757.394694333996,8860.17157604704,7983.550838019823,9263.966027101278,5072.475921964359,8467.234306851133,8920.306122490545,7205.122199013773,8522.681151899733,7766.938069890329,8884.818556839093,8555.693934433064,4824.9964572110875,6486.802118564184,6613.679828612165,8181.426688244694,9033.334122875996,6257.811554614347,8779.324623544966,9315.0228987736,8362.85656259272,9754.937535383782,7156.926031367211,8921.142193790742,9060.829408500877
Asian People - regardless of Hispanic identification,8137.6036633872245,7505.103149213986,8586.733808870513,10624.005717629896,9328.103960445245,10224.834430667346,5812.561236469598,8471.132002987051,9202.385153474961,13084.010377221477,7544.487712759721,8713.797689403695,9474.455217558248,10011.001148311085,7174.71986962614,7668.235261032101,9389.02271419346,11668.344539580314,9000.658269562282,9375.887236042667,9831.32496816597,8600.806406105441,9556.08791329714,8675.348899939892,9407.349689801737,6808.47771877821,8906.749021516953,6122.2924854781495,5454.842307692307,7342.297771212064,4774.0,8147.546058227713,7926.70260503261,7452.153507987046,9220.054275733608,7591.676974339112,8847.656645950188,7856.60854159833,9153.887692908605,7670.424666913964,8483.804597506502,12124.131941172845,2292.8094295027013,8339.69970057612,7065.0,8062.587686020827,8589.561091195967,13506.533330380358,9410.747033409592,7683.976766003715,8846.671878128112,5044.385455817955,9260.48720258302,8129.210262050719,9960.175266350761,8875.26816674862,8373.967062388178,7857.660145019352,8363.927023186197,9186.472399585844,9687.531665907654,6361.572127803676,8744.251605744828,10470.740986434219,9661.44260116874,9399.281357524784,14429.773578049653,8158.970982710385,13528.41710118468,9083.003399831816,7837.3694014303655,9642.229094609562,6342.661461942574,8416.063065800796,8638.28137947356,6402.845596681914,8380.233865523716,6578.321779563182,8454.712563486702,8463.156478060746,5846.984866087984,6785.952624058393,6345.818054930989,8451.498945371852,8499.711052689163,7233.398429007437,8939.644659449561,9381.979928126788,8422.866953671613,10001.193041960178,7753.70891861938,9623.978244799457,9668.647055010604
