  Zip code    avg completion time  std dev of completion time      # of completed requests    # of unfulfilled requests
----------  ---------------------  ----------------------------  -------------------------  ---------------------------
     60804               2         N/A                                                   1                            0
     60610               1.07481   7.523070556005173                                  2834                           68
     60827               1.06667   1.2504544628399563                                   45                            2
     60065               1         N/A                                                   1                            0
     60649               0.988854  1.2171829154391016                                  628                           22
     60661               0.986462  9.832892615519043                                  1625                           31
     60623               0.975809  2.1221639961910483                                23769                          705
     60611               0.908707  1.2692527070143533                                 2607                          107
     60615               0.848261  2.4365686322302267                                  949                           24
     60656               0.838855  1.5803075144738084                                  664                           20
     60619               0.838371  1.3950662970006769                                  761                           28
     60637               0.830835  1.083478157658166                                   934                           14
     60630               0.803872  1.3532884193143933                                 6302                          228
     60642               0.775518  2.98676743277824                                   7426                          265
     60646               0.755172  2.0061314480827033                                 1160                           43
     60618               0.75495   1.8321272580231238                                46056                         1830
     60616               0.745949  2.8807225034769033                                 7467                          215
     60638               0.721817  1.1173165717272717                                 4249                          148
     60632               0.718904  2.0501841470500057                                56390                         1772
     60644               0.707491  1.1393365667064854                                 1682                           28
     60605               0.694054  1.3991915548201657                                 3700                          144
     60652               0.693603  1.0168878556439531                                 5284                          294
     60602               0.678967  1.3192447888603254                                  813                           13
     60629               0.677468  1.2637626726075049                                26447                          755
     60635               0.666667  0.5773502691896257                                    3                            0
     60624               0.659584  1.1453930724991779                                 2212                           38
     60625               0.65913   1.372940146587409                                 27553                         1296
     60645               0.655405  0.9764584601262042                                 4292                          201
     60651               0.642383  1.0313002716632493                                 5573                          132
     60608               0.640346  1.6720820281048723                                46225                         1387
     60607               0.630549  3.245642503190416                                  5519                           86
     60654               0.629462  1.0474464289866035                                 3754                           54
     60641               0.626895  2.025683285825651                                 17148                          670
     60660               0.613384  1.1163950842770063                                 5574                          140
     60657               0.613238  1.0815536322711128                                13688                          399
     60659               0.60636   1.116559316535033                                  7390                          268
     60614               0.602232  1.0982482747391018                                15054                          446
     60653               0.595266  1.1812020270801047                                  845                            8
     60604               0.588095  1.2142161856778206                                  420                           16
     60640               0.578166  1.034523400965674                                 12064                          341
     60601               0.57676   1.251130232448713                                  3778                           87
     60612               0.573774  1.1313510587840518                                 8709                          176
     60609               0.565736  1.0374161922983878                                27253                          813
     60613               0.558737  1.0371963946132963                                13901                          511
     60647               0.554781  1.877705595938548                                 48621                         1281
     60606               0.554201  1.1059948248636164                                 2214                           43
     60603               0.554198  0.9415859110173705                                  655                           25
     60617               0.542482  0.9468433225183907                                 8380                          221
     60631               0.529307  0.8970755470316328                                  563                           12
     60626               0.526457  0.9803548810402257                                 6728                          204
     60643               0.525066  0.9216490208880456                                  758                           16
     60621               0.518966  1.1389953486875684                                 1160                           16
     60634               0.483686  1.2795546133674356                                 9072                          275
     60628               0.47643   0.8625201198768544                                 1591                           35
     60639               0.476291  1.0124301601407713                                19022                          577
     60622               0.459688  1.1088243531509532                                27684                          683
     60633               0.424161  0.8813823306205022                                  745                           34
     60636               0.389751  0.8557805457320059                                 2966                           32
     60707               0.379878  0.7920963973087515                                 1640                           27
     60620               0.332478  0.7718594479261065                                 1949                           22
     60666               0.3125    0.6020797289396148                                   16                            0
     60655               0.17679   0.6424904864418947                                  922                           11
     60627               0         N/A                                                   0                            0

Stats calculated ignoring all requests entered before 2015
