  Zip code    avg completion time  std dev of completion time      # of completed requests    # of unfulfilled requests
----------  ---------------------  ----------------------------  -------------------------  ---------------------------
     60804               2         N/A                                                   1                            0
     60610               1.87938   14.83512509880827                                   713                            1
     60615               1.20548   2.909953923605304                                   146                            0
     60642               1.16316   6.5657291789639745                                 1330                            2
     60656               1.14607   1.153557361518084                                    89                            0
     60643               1.09278   1.1000234299285414                                   97                            0
     60604               1.07317   1.9737817796556671                                   82                            0
     60611               1.06954   1.6756372863542661                                  604                            0
     60603               1.05172   1.0454441750941945                                  116                            0
     60616               1.03964   5.875523809675224                                  1564                            0
     60652               1.02342   0.8730461364549043                                  726                            0
     60649               1.01923   1.0518662954530307                                  104                            1
     60638               1.00913   1.381024005522215                                   767                            4
     60623               1.00386   3.968126325966325                                  4927                            8
     60065               1         N/A                                                   1                            0
     60607               0.98138   7.5076483999211785                                  913                            1
     60637               0.972028  1.0743098403230198                                  143                            1
     60629               0.938462  1.9402501196148807                                 3705                            7
     60655               0.911111  1.0185154576017674                                   45                            1
     60619               0.888889  2.1677975932334546                                  171                            0
     60618               0.871644  3.4372539912307865                                 9497                            5
     60631               0.869048  0.9022029518793456                                   84                            0
     60632               0.862185  2.8474528429159403                                 9774                           27
     60654               0.860831  1.1271635801494562                                  891                            2
     60630               0.857513  1.3432148503613908                                 1158                            1
     60647               0.856587  3.4485906405937032                                 8737                           25
     60608               0.851149  3.129205534262208                                  8747                           14
     60605               0.842746  1.8710271995655738                                  903                            0
     60602               0.837209  1.3623893170319528                                  129                            0
     60634               0.824298  2.469650569364026                                  1531                            0
     60614               0.795396  1.2973434405349418                                 3128                            1
     60641               0.787071  4.268838185185053                                  3001                            3
     60651               0.758784  1.0449640432916398                                 1053                            3
     60624               0.742981  1.1662782471767958                                  463                            0
     60609               0.728977  1.067194624908822                                  5708                            6
     60644               0.727642  0.9954017392650767                                  246                            1
     60628               0.725     1.0014774032634544                                  280                            0
     60707               0.724299  0.9659305393523815                                  214                            0
     60625               0.719451  2.4090718281106964                                 4370                            6
     60657               0.717589  1.1669464558141072                                 2422                            4
     60613               0.704574  1.1060516198815922                                 2383                            4
     60620               0.690083  0.9505538860248588                                  242                            0
     60659               0.671073  1.4996404028445098                                 1286                            3
     60661               0.667647  1.1043546382844909                                  340                            0
     60639               0.664267  1.4977930254243674                                 3056                            6
     60612               0.662077  1.0443559097296613                                 1743                            1
     60640               0.644401  1.11556910674362                                   2036                            5
     60633               0.62963   0.9398791062879119                                  189                            0
     60622               0.629387  1.7587299548369801                                 4274                           12
     60646               0.627986  0.9444330617000688                                  293                            0
     60660               0.622137  1.0304597145328647                                 1310                            1
     60645               0.600812  0.8563800988974155                                  739                            1
     60636               0.587859  0.9030328734918949                                  626                            0
     60621               0.565789  0.9624710540010131                                  304                            0
     60606               0.562092  1.0032484270887407                                  459                            0
     60617               0.556535  0.8874520484258461                                 2043                            1
     60626               0.468961  0.9278758239763808                                 1482                            2
     60653               0.451977  0.7754830163048694                                  177                            2
     60601               0.423204  0.8550427635002071                                  905                            1
     60635               0         N/A                                                   0                            0
     60627               0         N/A                                                   0                            0
     60827               0         0.0                                                   2                            0
     60666               0         N/A                                                   0                            0

Stats calculated ignoring all requests entered before 2019
