,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
170318134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318205022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170316720003,-159.95652173913044,768.7272727272727,-807.5,,,,,-417.7894736842105,,-20.0,,,,44.111111111111114,,-7.4,,,-5.076923076923077,,,,120.625,-362.089552238806,89.875,0.0,8.0,,,,,,228.5,,-46.75,35.0,,121.0,122.16666666666667,-15.833333333333334,,,0.0,,,-7.5,-115.5111111111111,,,,,,-0.75,-84.5,,6.147058823529412,189.94117647058823,275.3333333333333,2855.25,,,456.0,-1131.969696969697,,,-6.0,,,,-561.3333333333334,92.4,-50.333333333333336,,975.25,-27.0,,,0.5,-262.7,-27.90625,,3712.6666666666665,-1867.875,154.76923076923077,,,-0.5,-386.0,299.0,-42.333333333333336,561.4852071005918,-7.0,305.5
170315608003,1516.590909090909,-573.6,-1181.5,,0.0,,,-569.375,,,,-6.5,,,,,,3.0,12.375,,,,,-625.4347826086956,23.857142857142858,,,,,,,,,,-51.75,-140.0,,20.4,,,,,-10.75,27.0,,,-2234.4864864864867,,,,,,93.5,-17.0,,-36.19402985074627,-202.75,319.8181818181818,-1399.875,,,-59.84615384615385,381.5238095238095,-1.0,1.6666666666666667,-6.25,,,,-469.0,-10.666666666666666,,-148.33333333333334,-2042.5365853658536,-8.0,,,,-272.1818181818182,-129.66666666666666,,101.5,-3970.777777777778,,,,,-210.75,23.0,-27.0,,,
170318196003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318196004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318197003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
