,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
170318134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318205022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170316720003,-158.52173913043478,773.0,-811.0,,,,,-419.94736842105266,,-20.0,,,,43.0,,-7.2,,,-5.230769230769231,,,,120.6875,-368.17910447761193,92.375,0.0,8.0,,,,,,228.5,,-49.0,35.0,,125.72727272727273,122.5,-56.0,,,0.0,,,-7.5,-123.97777777777777,,,,,,-2.25,-85.0,,5.426470588235294,190.47058823529412,275.3333333333333,2854.25,,,459.0,-1138.5151515151515,,,-7.0,,,,-587.6666666666666,92.66666666666667,-52.333333333333336,,975.0416666666666,-27.0,,,0.5,-266.8,-31.75,,3714.8888888888887,-1861.3333333333333,154.53846153846155,,,-0.4166666666666667,-388.0,299.0,-47.5,500.301775147929,-7.0,306.5
170315608003,1519.1363636363637,-572.5,-1184.0,,0.0,,,-568.75,,,,-6.5,,,,,,3.0,14.125,,,,,-633.1739130434783,-1.9285714285714286,,,,,,,,,,-52.25,-140.5,,3.0,,,,,-9.0,27.0,,,-2232.5135135135133,,,,,,93.5,-17.0,,-41.26865671641791,-205.0,319.90909090909093,-1402.0,,,60.0,379.4761904761905,-1.0,1.6666666666666667,-7.25,,,,-596.0,-11.666666666666666,,-148.33333333333334,-2050.048780487805,-8.75,,,,-276.3636363636364,-140.33333333333334,,99.0,-3981.8888888888887,,,,,-212.0,23.0,-27.0,,,
170318196003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318196004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318197003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
