,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
170318378002,788.6842105263158,761.7777777777778,1444.0,,1961.0,,,1286.7142857142858,,2616.8,1657.0625,,,1550.0,380.8,1068.2,,2492.0,1460.2222222222222,,,,1896.1,1330.0416666666667,1573.0,2387.25,925.0,,,,,,478.0,,1226.5,1022.25,,,1822.25,,,,130.0,,,408.0,1485.0277777777778,,,,,,1787.0,,,1674.0,1069.25,1229.0,594.0,,,683.0,1440.4025974025974,,2946.0,1909.578947368421,,,,772.6,1377.625,1876.5,,1354.7021276595744,2144.5,1027.5,,,1936.975,1308.6666666666667,1437.0,540.4444444444445,1383.6666666666667,898.0,1685.8947368421052,,1376.0,433.0,330.0,,953.8947368421053,445.0,2752.0
170318380002,1338.3076923076924,1227.0,1193.25,,,,,1768.9166666666667,,538.5,1143.625,,,841.8,,2115.0,,2069.0,1664.4666666666667,1370.0,,,2345.0,1478.5625,1681.2857142857142,2486.0,1194.7,,,,,,1347.25,1693.0,554.3333333333334,2366.3333333333335,,1282.5,998.0,525.8,,,414.0,,,,1336.607142857143,,,,,,1098.5,1630.0,,1565.2857142857142,1660.6666666666667,1278.0,2021.2,289.0,,,1195.4705882352941,,,210.0,,,,1218.0,1245.5,1737.142857142857,,1288.5645161290322,1463.5555555555557,,,,1305.2206896551725,2233.714285714286,1182.0,614.8571428571429,937.3571428571429,2145.0,,,,2195.8571428571427,,1027.5,782.3125,,
170318380001,1862.1951219512196,1356.4615384615386,1841.3333333333333,,,,,2296.3333333333335,,,1967.0,,,1632.5,,,,2524.0,2192.75,,,,2157.5714285714284,1666.8108108108108,1555.5172413793102,1287.3333333333333,1468.0,,,,,,2029.0,,1093.0,2062.0,,1948.0,,1269.0,,,77.0,2248.6666666666665,,555.0,1002.5,,,,,,2215.9,,,942.0,1967.142857142857,805.0,1609.75,,,898.75,1312.5416666666667,,,1095.8,,,,1442.125,610.3333333333334,561.0,1543.0,1167.4736842105262,398.0,245.5,,,1479.8979591836735,1846.1,1283.0,1248.7333333333333,1555.45,1595.8,,,1367.0,1524.142857142857,,2946.0,1084.31,,2685.0
170318331001,1404.7,893.5,1542.0,2183.0,1326.0,,,1416.1764705882354,,2537.3333333333335,1330.32,2054.0,1278.0,1613.2,1181.0,1451.3333333333333,1663.0,,1615.5454545454545,1834.5,1708.5217391304348,,1994.3333333333333,1018.90625,1321.2385321100917,701.0,1893.8333333333333,,,,,1437.5454545454545,835.0,,1689.0,1336.6285714285714,,1413.25,1402.3333333333333,1016.5,2164.0,2074.6,331.57142857142856,1196.75,,,1297.8507462686566,,,,1294.0,,1628.5714285714287,1349.0666666666666,1777.0,1629.2592592592594,1453.4545454545455,1297.6315789473683,1525.909090909091,,2890.5,1194.7272727272727,1904.6106870229007,2594.0,2202.6666666666665,1510.8461538461538,,2110.0,,1176.157894736842,1484.375,1364.75,1841.0,1496.8139534883721,1046.4285714285713,1557.25,,,1630.148148148148,1379.5,,838.1875,1512.9473684210527,2524.0,886.5,525.0,216.0,1786.111111111111,,1995.5,1584.5,1432.2857142857142,1674.0
170318333001,1699.1818181818182,1268.5,1080.9,1297.0,1167.0,,789.5,1390.888888888889,,1559.0,1252.4444444444443,,,,,1078.6,,2274.0,2036.5384615384614,1334.0,,,1060.7692307692307,1146.52,1613.0,,947.3333333333334,,,,,,760.3333333333334,,1807.3157894736842,1299.5,,1447.5714285714287,1831.6,1173.967741935484,,,423.6666666666667,2516.0,,1254.0,1354.3978494623657,2317.0,,,,,1269.4166666666667,1097.3333333333333,1141.0,1412.0645161290322,1432.0869565217392,1096.8,1239.7272727272727,1975.0,,1137.25,1448.2278481012659,1662.0,1619.0,1908.4,,1160.0,2321.0,1346.6875,1336.6,1931.375,542.0,1437.4150943396226,1730.8095238095239,1438.0,,,1642.1777777777777,1969.2,,1046.6,693.3050847457627,367.5,1224.12,,1098.4,1689.0,,1358.0,1202.4285714285713,1364.3333333333333,2120.1176470588234
170316405002,1716.5365853658536,1251.5555555555557,1094.7692307692307,1640.3333333333333,,,,1062.7,,,206.0,,1284.2,,,2079.0,,,1879.25,,,,1208.75,1555.8676470588234,1467.0,,769.0,,,,,,2499.0,,1504.4,436.0,,1915.6666666666667,1631.75,1695.0,,,1081.75,1802.0,,,1433.245283018868,,,,,,2807.0,,,1529.9292452830189,1074.7272727272727,1680.6774193548388,1955.5,,,1053.0,1665.6491228070176,,2574.6666666666665,2133.0833333333335,,974.3428571428572,,1460.5,2045.75,1982.0,,1569.140350877193,1962.0,,,,1647.9444444444443,2495.6,192.33333333333334,1848.2272727272727,1445.138888888889,,,,1594.25,1679.2222222222222,,1906.0,827.5,2370.5,2162.5
170316403006,1465.7708333333333,1216.625,1026.4,,,,,1367.7333333333333,610.0,2219.4,,,767.0,1370.0,,,,,1440.1666666666667,,,,198.0,1493.876712328767,1809.7333333333333,795.0,1457.0,,,,,,,,1476.0,1225.5,,,243.5,2061.6666666666665,,,,296.0,,,1446.3366336633662,,,,,,1252.25,914.0,,1688.369337979094,448.8333333333333,1222.5,1312.0625,1957.0,,800.35,1392.5641025641025,,2237.3333333333335,1550.5,,,,,1247.0,,,1353.1538461538462,,2906.0,,,1571.0,1644.0,731.2857142857143,1311.578947368421,1963.531914893617,1812.25,,,2038.6666666666667,2214.1,1345.5,2187.1428571428573,857.1666666666666,,1638.0
170316403003,711.8636363636364,1362.3555555555556,1555.5,,,,,1189.0,,,,,,,,,,2375.0,1762.0,1549.0,,,1586.0,1493.121951219512,918.0,,879.0,,,,,,1432.2,,,1410.0,,1314.75,,,,,122.0,1292.5,,,1171.6363636363637,,,,,,441.0,,,1740.6739130434783,1569.0,1708.0,1362.0,,,625.5,1073.2727272727273,,,1414.0,,,,638.0,2574.0,,,1325.5555555555557,1898.0,,,,1563.0,1460.0,1362.75,769.2941176470588,1443.3333333333333,270.0,,,,1534.0,,418.0,1561.0,,
170316404001,1295.5,1109.7868852459017,1097.6,1293.0,,,,2543.0,,2201.5,,2347.0,,,,2218.0,235.0,,1440.9166666666667,,,,685.0,1357.894117647059,1986.7058823529412,,,,,,,,1354.5,,758.0,1643.6666666666667,,1645.2,1552.5,184.0,1601.5,,613.5,,,,1527.0987654320988,,,,,,1418.6666666666667,,,1417.6376811594203,1849.8333333333333,1681.6,1188.7692307692307,,,962.4615384615385,1281.1153846153845,1286.5,1194.6666666666667,1044.0,,,,,1582.0,,994.0,1617.6078431372548,1583.4,1344.5,,,1509.25,2000.9583333333333,448.0,1306.09375,1158.969696969697,1490.5,,,1555.0,1700.5,932.3333333333334,1577.3333333333333,1990.25,,1998.0
170316406001,1776.4186046511627,1311.3333333333333,1807.75,,,,,1214.5,,2642.0,1746.0,,1737.0,2262.0,,389.0,,,1859.8,,,,653.0,1379.7777777777778,2162.233333333333,110.0,1489.6,,,,,,,,,1095.0,,1147.5,1298.0,1572.75,,,50.0,2010.5,,,1588.375,,,,,,1572.6666666666667,1730.0,,1607.0514285714285,1145.6363636363637,1020.8333333333334,1451.409090909091,,,1122.0,1594.5925925925926,,,1368.0,,950.0,,1877.0,1823.0,,,1521.8148148148148,1002.0,1618.0,,,1710.0,1674.7142857142858,,1405.4166666666667,1306.25,2573.0,,,,1064.0,,,1127.0,,
