Zip code,avg completion time,std dev of completion time,# of completed requests,# of unfulfilled requests
60804,2,N/A,1,0
60610,1.879382889200561,14.83512509880827,713,1
60615,1.2054794520547945,2.909953923605304,146,0
60642,1.1631578947368422,6.5657291789639745,1330,2
60656,1.146067415730337,1.153557361518084,89,0
60643,1.092783505154639,1.1000234299285414,97,0
60604,1.0731707317073171,1.9737817796556671,82,0
60611,1.0695364238410596,1.6756372863542661,604,0
60603,1.0517241379310345,1.0454441750941945,116,0
60616,1.0396419437340154,5.875523809675224,1564,0
60652,1.0234159779614325,0.8730461364549043,726,0
60649,1.0192307692307692,1.0518662954530307,104,1
60638,1.0091264667535853,1.381024005522215,767,4
60623,1.0038563020093363,3.968126325966325,4927,8
60065,1,N/A,1,0
60607,0.9813800657174151,7.5076483999211785,913,1
60637,0.972027972027972,1.0743098403230198,143,1
60629,0.9384615384615385,1.9402501196148807,3705,7
60655,0.9111111111111111,1.0185154576017674,45,1
60619,0.8888888888888888,2.1677975932334546,171,0
60618,0.871643676950616,3.4372539912307865,9497,5
60631,0.8690476190476191,0.9022029518793456,84,0
60632,0.8621853898096992,2.8474528429159403,9774,27
60654,0.8608305274971941,1.1271635801494562,891,2
60630,0.8575129533678757,1.3432148503613908,1158,1
60647,0.8565869291518828,3.4485906405937032,8737,25
60608,0.8511489653595519,3.129205534262208,8747,14
60605,0.8427464008859358,1.8710271995655738,903,0
60602,0.8372093023255814,1.3623893170319528,129,0
60634,0.8242978445460484,2.469650569364026,1531,0
60614,0.7953964194373402,1.2973434405349418,3128,1
60641,0.7870709763412196,4.268838185185053,3001,3
60651,0.7587844254510921,1.0449640432916398,1053,3
60624,0.7429805615550756,1.1662782471767958,463,0
60609,0.7289768745620182,1.067194624908822,5708,6
60644,0.7276422764227642,0.9954017392650767,246,1
60628,0.725,1.0014774032634544,280,0
60707,0.7242990654205608,0.9659305393523815,214,0
60625,0.7194508009153318,2.4090718281106964,4370,6
60657,0.717588769611891,1.1669464558141072,2422,4
60613,0.7045740663029795,1.1060516198815922,2383,4
60620,0.6900826446280992,0.9505538860248588,242,0
60659,0.6710730948678072,1.4996404028445098,1286,3
60661,0.6676470588235294,1.1043546382844909,340,0
60639,0.6642670157068062,1.4977930254243674,3056,6
60612,0.6620768789443489,1.0443559097296613,1743,1
60640,0.6444007858546169,1.11556910674362,2036,5
60633,0.6296296296296297,0.9398791062879119,189,0
60622,0.6293869911090314,1.7587299548369801,4274,12
60646,0.6279863481228669,0.9444330617000688,293,0
60660,0.6221374045801527,1.0304597145328647,1310,1
60645,0.6008119079837618,0.8563800988974155,739,1
60636,0.5878594249201278,0.9030328734918949,626,0
60621,0.5657894736842105,0.9624710540010131,304,0
60606,0.5620915032679739,1.0032484270887407,459,0
60617,0.5565345080763583,0.8874520484258461,2043,1
60626,0.4689608636977058,0.9278758239763808,1482,2
60653,0.4519774011299435,0.7754830163048694,177,2
60601,0.42320441988950275,0.8550427635002071,905,1
60635,0,N/A,0,0
60627,0,N/A,0,0
60827,0,0.0,2,0
60666,0,N/A,0,0
